0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,
1,94,31,66,61,161,91,102,121,35,151,161,181,216,211,307,241,104,271,69,,,,,,,
2,133,32,145,62,95,92,85,122,90,152,345,182,94,212,220,242,333,272,93,,,,,,,
3,500,33,52,63,117,93,125,123,80,153,188,183,207,213,129,243,50,273,55,,,,,,,
4,46,34,278,64,177,94,88,124,59,154,178,184,139,214,259,244,131,274,240,,,,,,,
5,197,35,70,65,262,95,93,125,387,155,93,185,101,215,63,245,135,275,106,,,,,,,
6,88,36,360,66,23,96,36,126,34,156,44,186,91,216,20,246,70,276,54,,,,,,,
7,531,37,115,67,393,97,65,127,501,157,261,187,15,217,25,247,537,277,226,,,,,,,
8,172,38,187,68,81,98,38,128,498,158,53,188,28,218,24,248,578,278,70,,,,,,,
9,113,39,233,69,107,99,118,129,110,159,284,189,151,219,35,249,-6,279,39,,,,,,,
10,676,40,179,70,642,100,83,130,527,160,64,190,491,220,58,250,7,280,580,,,,,,,
11,77,41,50,71,256,101,7,131,-5,161,388,191,28,221,90,251,35,281,47,,,,,,,
12,60,42,462,72,56,102,157,132,161,162,62,192,190,222,588,252,33,282,476,,,,,,,
13,37,43,545,73,181,103,213,133,75,163,247,193,19,223,70,253,167,283,79,,,,,,,
14,425,44,465,74,61,104,52,134,56,164,90,194,347,224,30,254,458,284,101,,,,,,,
15,86,45,337,75,65,105,182,135,598,165,53,195,50,225,17,255,60,285,88,,,,,,,
16,131,46,34,76,221,106,345,136,67,166,10,196,152,226,217,256,291,286,477,,,,,,,
17,652,47,92,77,74,107,99,137,142,167,52,197,52,227,466,257,55,287,37,,,,,,,
18,58,48,557,78,38,108,91,138,85,168,87,198,106,228,85,258,88,288,25,,,,,,,
19,410,49,84,79,304,109,76,139,105,169,65,199,336,229,78,259,60,289,58,,,,,,,
20,53,50,180,80,395,110,66,140,62,170,114,200,40,230,307,260,235,290,45,,,,,,,
21,123,51,128,81,278,111,114,141,434,171,12,201,393,231,197,261,324,291,90,,,,,,,
22,52,52,50,82,302,112,171,142,296,172,90,202,103,232,184,262,54,292,71,,,,,,,
23,533,53,54,83,191,113,49,143,64,173,64,203,35,233,55,263,115,293,274,,,,,,,
24,242,54,47,84,35,114,110,144,5,174,136,204,70,234,-21,264,98,294,55,,,,,,,
25,70,55,99,85,122,115,72,145,370,175,64,205,196,235,43,265,78,295,419,,,,,,,
26,612,56,45,86,76,116,115,146,134,176,71,206,82,236,48,266,115,296,294,,,,,,,
27,85,57,12,87,72,117,118,147,355,177,136,207,185,237,25,267,94,297,29,,,,,,,
28,585,58,75,88,178,118,185,148,145,178,121,208,157,238,574,268,74,298,62,,,,,,,
29,199,59,23,89,524,119,616,149,390,179,55,209,13,239,496,269,12,299,118,,,,,,,
30,100,60,212,90,100,120,70,150,62,180,165,210,665,240,107,270,61,300,125,,,,,,,
Centre:,441127,ARMY,PUBLIC,SCHOOL,"VARANASI,",ARMY,PUBLIC,SCHOOL,VARANASI,39,GTC,VARANASI,CANTT,(UP),PIN,-,"221002,","VARANASI,",UTTAR,PRADESH,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,
301,178,331,65,361,548,391,169,421,191,451,301,481,-11,511,332,541,50,571,152,,,,,,,
302,40,332,453,362,170,392,181,422,106,452,574,482,117,512,81,542,87,572,98,,,,,,,
303,80,333,106,363,206,393,75,423,118,453,166,483,67,513,57,543,401,573,376,,,,,,,
304,35,334,196,364,619,394,71,424,150,454,19,484,163,514,126,544,44,574,137,,,,,,,
305,71,335,113,365,75,395,62,425,39,455,79,485,78,515,50,545,37,575,96,,,,,,,
306,154,336,44,366,10,396,110,426,52,456,76,486,35,516,0,546,250,576,41,,,,,,,
307,79,337,96,367,128,397,97,427,67,457,65,487,660,517,46,547,135,577,218,,,,,,,
308,52,338,279,368,59,398,146,428,137,458,123,488,67,518,82,548,386,578,180,,,,,,,
309,19,339,97,369,122,399,66,429,121,459,70,489,639,519,115,549,236,,,,,,,,,
310,47,340,146,370,130,400,15,430,150,460,111,490,610,520,172,550,192,,,,,,,,,
311,345,341,373,371,511,401,60,431,272,461,457,491,66,521,62,551,62,,,,,,,,,
312,60,342,329,372,157,402,70,432,82,462,137,492,22,522,43,552,59,,,,,,,,,
313,128,343,553,373,59,403,144,433,63,463,589,493,42,523,64,553,70,,,,,,,,,
314,27,344,66,374,71,404,89,434,146,464,110,494,46,524,671,554,86,,,,,,,,,
315,268,345,92,375,133,405,15,435,244,465,198,495,96,525,59,555,25,,,,,,,,,
316,106,346,32,376,271,406,76,436,40,466,181,496,41,526,136,556,55,,,,,,,,,
317,40,347,0,377,303,407,35,437,22,467,109,497,65,527,208,557,315,,,,,,,,,
318,5,348,454,378,49,408,119,438,95,468,642,498,28,528,482,558,100,,,,,,,,,
319,76,349,137,379,54,409,273,439,675,469,19,499,58,529,630,559,617,,,,,,,,,
320,138,350,659,380,163,410,114,440,241,470,145,500,434,530,266,560,274,,,,,,,,,
321,253,351,45,381,210,411,49,441,515,471,38,501,37,531,69,561,226,,,,,,,,,
322,116,352,658,382,61,412,62,442,21,472,171,502,305,532,68,562,60,,,,,,,,,
323,86,353,92,383,96,413,456,443,85,473,208,503,90,533,539,563,39,,,,,,,,,
324,616,354,155,384,128,414,27,444,21,474,44,504,60,534,252,564,82,,,,,,,,,
325,100,355,94,385,650,415,82,445,15,475,152,505,24,535,74,565,615,,,,,,,,,
326,103,356,73,386,365,416,499,446,27,476,235,506,111,536,130,566,18,,,,,,,,,
327,205,357,237,387,84,417,80,447,42,477,65,507,60,537,171,567,88,,,,,,,,,
328,48,358,146,388,348,418,223,448,53,478,310,508,19,538,235,568,163,,,,,,,,,
329,185,359,21,389,586,419,55,449,168,479,92,509,75,539,192,569,244,,,,,,,,,
330,64,360,59,390,70,420,257,450,19,480,39,510,83,540,202,570,527,,,,,,,,,
