0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,
1,134,31,492,61,66,91,164,121,256,151,94,181,250,211,145,241,546,271,172,,,,,,,,,,,,,,
2,27,32,72,62,45,92,73,122,136,152,165,182,16,212,335,242,157,272,80,,,,,,,,,,,,,,
3,82,33,58,63,40,93,79,123,176,153,353,183,101,213,30,243,103,273,104,,,,,,,,,,,,,,
4,180,34,514,64,103,94,79,124,315,154,122,184,176,214,361,244,454,274,192,,,,,,,,,,,,,,
5,211,35,87,65,380,95,218,125,285,155,339,185,250,215,48,245,250,275,76,,,,,,,,,,,,,,
6,463,36,273,66,81,96,574,126,342,156,178,186,81,216,366,246,116,276,227,,,,,,,,,,,,,,
7,82,37,55,67,90,97,205,127,59,157,40,187,81,217,69,247,356,277,181,,,,,,,,,,,,,,
8,45,38,610,68,43,98,265,128,425,158,211,188,96,218,105,248,127,278,280,,,,,,,,,,,,,,
9,426,39,119,69,87,99,32,129,180,159,190,189,114,219,117,249,216,279,130,,,,,,,,,,,,,,
10,153,40,149,70,52,100,111,130,64,160,157,190,184,220,232,250,62,280,122,,,,,,,,,,,,,,
11,319,41,519,71,594,101,112,131,219,161,375,191,265,221,74,251,532,281,68,,,,,,,,,,,,,,
12,48,42,58,72,104,102,168,132,147,162,350,192,160,222,167,252,302,282,484,,,,,,,,,,,,,,
13,322,43,550,73,207,103,240,133,61,163,292,193,104,223,82,253,93,283,55,,,,,,,,,,,,,,
14,490,44,174,74,107,104,89,134,286,164,527,194,53,224,248,254,99,284,222,,,,,,,,,,,,,,
15,317,45,266,75,77,105,372,135,21,165,402,195,662,225,432,255,84,285,101,,,,,,,,,,,,,,
16,227,46,144,76,48,106,177,136,387,166,236,196,210,226,76,256,89,286,97,,,,,,,,,,,,,,
17,269,47,66,77,239,107,408,137,67,167,383,197,131,227,158,257,134,287,163,,,,,,,,,,,,,,
18,52,48,166,78,414,108,37,138,162,168,60,198,189,228,190,258,326,288,338,,,,,,,,,,,,,,
19,101,49,41,79,500,109,400,139,148,169,508,199,204,229,394,259,189,289,196,,,,,,,,,,,,,,
20,87,50,64,80,74,110,426,140,454,170,175,200,500,230,55,260,194,290,321,,,,,,,,,,,,,,
21,650,51,120,81,34,111,99,141,40,171,255,201,48,231,370,261,112,291,442,,,,,,,,,,,,,,
22,543,52,272,82,207,112,113,142,142,172,317,202,72,232,45,262,350,292,637,,,,,,,,,,,,,,
23,100,53,120,83,185,113,397,143,204,173,48,203,163,233,335,263,135,293,152,,,,,,,,,,,,,,
24,19,54,61,84,171,114,345,144,54,174,36,204,71,234,141,264,83,294,222,,,,,,,,,,,,,,
25,135,55,0,85,100,115,232,145,119,175,101,205,46,235,177,265,115,295,93,,,,,,,,,,,,,,
