0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
19,14,49,115,79,491,109,170,139,84,169,137,199,161,229,33,259,116,289,30,,,,,,,,,,,,,
20,71,50,30,80,-12,110,96,140,46,170,68,200,22,230,633,260,90,290,80,,,,,,,,,,,,,
21,14,51,303,81,300,111,141,141,150,171,27,201,127,231,121,261,67,291,75,,,,,,,,,,,,,
22,40,52,90,82,-26,112,345,142,64,172,73,202,260,232,354,262,42,292,71,,,,,,,,,,,,,
23,71,53,192,83,-10,113,39,143,32,173,143,203,39,233,58,263,132,293,123,,,,,,,,,,,,,
24,60,54,80,84,255,114,65,144,118,174,63,204,100,234,85,264,133,294,76,,,,,,,,,,,,,
25,106,55,31,85,15,115,23,145,34,175,28,205,216,235,407,265,130,295,66,,,,,,,,,,,,,
26,31,56,32,86,180,116,5,146,649,176,110,206,151,236,242,266,30,296,270,,,,,,,,,,,,,
27,87,57,90,87,222,117,60,147,90,177,287,207,71,237,233,267,49,297,262,,,,,,,,,,,,,
28,43,58,185,88,70,118,101,148,70,178,151,208,89,238,120,268,265,298,84,,,,,,,,,,,,,
29,366,59,2,89,42,119,114,149,150,179,60,209,37,239,358,269,108,299,128,,,,,,,,,,,,,
30,252,60,-6,90,42,120,33,150,114,180,237,210,96,240,205,270,45,300,95,,,,,,,,,,,,,
Centre:,361804,SRI,SATHYA,SAI,VIDYA,VIHAR,"BARIPADA,",AT,-,BAGHRA,ROAD,WARD,NO.,03,NEAR,SATHYA,SAI,CHHAK,PO/PS,-,BARIPADA,DIST,-,MAYURBHANJ,STATE,-,NEET,(UG),2024,Page,No.,2
ODISHA,PIN,-,"757001,","BARIPADA/MAYURBANJ,",ODISHA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,270,331,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,132,332,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,51,333,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,54,334,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,221,335,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,16,336,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,46,337,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,75,338,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,46,339,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,29,340,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,42,341,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,79,342,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,72,343,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,203,344,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,70,345,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,173,346,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,115,347,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,27,348,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
