0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,100,31,139,61,143,91,89,121,94
2,220,32,264,62,115,92,96,,
3,83,33,197,63,78,93,33,,
4,102,34,350,64,77,94,104,,
5,305,35,341,65,68,95,80,,
6,139,36,130,66,199,96,262,,
7,171,37,117,67,390,97,61,,
8,145,38,171,68,73,98,168,,
9,246,39,188,69,96,99,62,,
10,162,40,61,70,42,100,177,,
11,280,41,121,71,74,101,109,,
12,105,42,150,72,96,102,129,,
13,191,43,389,73,159,103,52,,
14,201,44,110,74,300,104,55,,
15,35,45,162,75,305,105,151,,
16,81,46,103,76,198,106,144,,
17,63,47,81,77,156,107,237,,
18,113,48,369,78,69,108,232,,
19,146,49,420,79,107,109,483,,
20,106,50,224,80,564,110,157,,
21,74,51,58,81,143,111,260,,
22,105,52,120,82,134,112,268,,
23,82,53,106,83,231,113,117,,
24,175,54,4,84,168,114,60,,
25,74,55,211,85,75,115,60,,
26,242,56,91,86,139,116,227,,
27,204,57,179,87,107,117,138,,
28,84,58,168,88,171,118,26,,
29,89,59,123,89,98,119,60,,
30,72,60,378,90,159,120,265,,
