0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,67,31,302,61,513,91,591,121,175,151,613,181,405,211,61
2,202,32,247,62,609,92,519,122,176,152,58,182,590,212,518
3,634,33,477,63,553,93,162,123,158,153,592,183,85,213,403
4,647,34,416,64,155,94,547,124,234,154,508,184,473,214,271
5,115,35,610,65,117,95,216,125,106,155,111,185,15,,
6,430,36,208,66,495,96,393,126,122,156,595,186,301,,
7,603,37,379,67,75,97,456,127,686,157,627,187,410,,
8,500,38,637,68,308,98,510,128,100,158,408,188,405,,
9,660,39,291,69,347,99,532,129,401,159,608,189,373,,
10,218,40,155,70,582,100,205,130,279,160,320,190,369,,
11,203,41,492,71,246,101,264,131,476,161,345,191,435,,
12,257,42,373,72,495,102,590,132,95,162,358,192,695,,
13,189,43,255,73,540,103,636,133,640,163,460,193,176,,
14,160,44,619,74,265,104,665,134,347,164,577,194,416,,
15,106,45,570,75,668,105,423,135,280,165,594,195,136,,
16,88,46,501,76,147,106,376,136,319,166,141,196,458,,
17,476,47,671,77,241,107,256,137,100,167,657,197,490,,
18,457,48,31,78,100,108,358,138,150,168,307,198,398,,
19,191,49,451,79,448,109,159,139,438,169,200,199,710,,
20,393,50,518,80,422,110,79,140,680,170,542,200,113,,
21,345,51,465,81,92,111,648,141,132,171,427,201,191,,
22,510,52,169,82,520,112,454,142,471,172,582,202,234,,
23,131,53,570,83,630,113,470,143,524,173,86,203,651,,
24,675,54,45,84,581,114,497,144,76,174,73,204,196,,
25,636,55,639,85,63,115,154,145,267,175,327,205,457,,
26,206,56,62,86,285,116,643,146,118,176,445,206,580,,
27,495,57,241,87,115,117,565,147,223,177,400,207,281,,
28,469,58,425,88,632,118,370,148,428,178,507,208,502,,
29,120,59,321,89,536,119,523,149,259,179,508,209,626,,
30,143,60,14,90,241,120,553,150,639,180,393,210,65,,
