0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,418,31,101,61,92,91,280,121,40,151,94
2,152,32,77,62,255,92,262,122,177,152,70
3,330,33,316,63,92,93,118,123,12,153,102
4,74,34,65,64,17,94,66,124,79,154,95
5,459,35,55,65,465,95,114,125,97,155,256
6,219,36,339,66,455,96,527,126,95,156,110
7,79,37,55,67,64,97,103,127,90,157,40
8,131,38,200,68,389,98,150,128,285,158,57
9,73,39,192,69,141,99,407,129,25,159,172
10,122,40,243,70,135,100,138,130,85,160,545
11,132,41,267,71,590,101,243,131,5,161,287
12,88,42,87,72,337,102,42,132,199,162,86
13,108,43,157,73,19,103,61,133,74,163,629
14,184,44,182,74,428,104,89,134,45,164,435
15,39,45,418,75,151,105,430,135,84,165,108
16,306,46,205,76,164,106,274,136,142,,
17,491,47,155,77,502,107,506,137,284,,
18,190,48,255,78,132,108,286,138,30,,
19,65,49,218,79,141,109,196,139,270,,
20,125,50,100,80,77,110,371,140,582,,
21,71,51,300,81,82,111,92,141,84,,
22,330,52,282,82,117,112,106,142,226,,
23,260,53,95,83,52,113,102,143,80,,
24,183,54,143,84,205,114,690,144,553,,
25,143,55,154,85,582,115,310,145,179,,
26,218,56,50,86,224,116,105,146,109,,
27,223,57,160,87,175,117,40,147,511,,
28,365,58,135,88,168,118,46,148,81,,
29,459,59,488,89,313,119,206,149,166,,
30,179,60,75,90,325,120,672,150,230,,
