0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"VIJAYAPURA,",KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,
1,196,31,90,61,207,91,493,121,96,151,362,181,140,211,610,241,285,271,495,,,,,,,,,,,
2,143,32,88,62,97,92,206,122,106,152,556,182,187,212,57,242,604,272,45,,,,,,,,,,,
3,67,33,375,63,176,93,375,123,258,153,55,183,12,213,86,243,156,273,168,,,,,,,,,,,
4,509,34,340,64,111,94,348,124,302,154,95,184,414,214,130,244,131,274,324,,,,,,,,,,,
5,378,35,141,65,483,95,451,125,91,155,211,185,277,215,64,245,84,275,77,,,,,,,,,,,
6,176,36,48,66,104,96,210,126,157,156,238,186,220,216,495,246,151,276,210,,,,,,,,,,,
7,30,37,619,67,137,97,43,127,57,157,125,187,161,217,199,247,115,277,27,,,,,,,,,,,
8,188,38,155,68,192,98,102,128,105,158,314,188,91,218,130,248,168,278,105,,,,,,,,,,,
9,38,39,72,69,100,99,69,129,105,159,459,189,94,219,95,249,185,279,212,,,,,,,,,,,
10,332,40,324,70,8,100,309,130,273,160,181,190,27,220,247,250,82,280,356,,,,,,,,,,,
11,55,41,114,71,81,101,189,131,75,161,122,191,167,221,6,251,129,281,68,,,,,,,,,,,
12,31,42,50,72,259,102,147,132,131,162,63,192,131,222,345,252,245,282,67,,,,,,,,,,,
13,104,43,98,73,159,103,310,133,23,163,98,193,55,223,55,253,442,283,308,,,,,,,,,,,
14,100,44,85,74,443,104,554,134,81,164,171,194,225,224,58,254,288,284,38,,,,,,,,,,,
15,165,45,67,75,462,105,325,135,55,165,461,195,660,225,113,255,164,285,93,,,,,,,,,,,
16,292,46,153,76,-20,106,390,136,162,166,143,196,412,226,94,256,186,286,94,,,,,,,,,,,
17,112,47,191,77,449,107,86,137,85,167,100,197,277,227,390,257,172,287,64,,,,,,,,,,,
18,366,48,361,78,98,108,-6,138,25,168,448,198,24,228,142,258,136,288,281,,,,,,,,,,,
19,180,49,95,79,454,109,29,139,106,169,139,199,120,229,113,259,84,289,132,,,,,,,,,,,
20,115,50,10,80,70,110,559,140,97,170,59,200,80,230,255,260,215,290,586,,,,,,,,,,,
21,146,51,187,81,502,111,270,141,97,171,97,201,60,231,127,261,95,291,474,,,,,,,,,,,
22,538,52,238,82,154,112,86,142,485,172,451,202,75,232,42,262,452,292,72,,,,,,,,,,,
23,158,53,256,83,101,113,280,143,129,173,42,203,264,233,111,263,105,293,205,,,,,,,,,,,
24,134,54,32,84,170,114,86,144,108,174,81,204,210,234,87,264,140,294,99,,,,,,,,,,,
25,264,55,144,85,95,115,48,145,272,175,436,205,393,235,435,265,145,295,80,,,,,,,,,,,
26,146,56,168,86,145,116,317,146,56,176,120,206,79,236,350,266,76,296,57,,,,,,,,,,,
27,70,57,53,87,74,117,305,147,126,177,69,207,214,237,69,267,93,297,321,,,,,,,,,,,
28,406,58,628,88,227,118,57,148,31,178,449,208,72,238,3,268,227,298,80,,,,,,,,,,,
29,275,59,99,89,237,119,198,149,293,179,283,209,163,239,138,269,257,299,594,,,,,,,,,,,
30,178,60,54,90,19,120,75,150,177,180,260,210,131,240,288,270,70,300,78,,,,,,,,,,,
Centre:,273009,SRI.,B.,M.,PATIL,PUBLIC,"SCHOOL,",SRI,B.,M.,PATIL,PUBLIC,"SCHOOL,",SY,NO.,"142,",BUTNAL,"VILLAGE,",SOLAPUR,"ROAD,",VIJAYAPUR,-,"586103,","KARNATAKA,",NEET,(UG),2024,Page,No.,2
"VIJAYAPURA,",KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,240,331,491,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,102,332,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,348,333,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,324,334,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,136,335,161,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,650,336,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,104,337,184,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,363,338,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,27,339,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,285,340,344,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,310,341,126,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,68,342,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,248,343,76,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,625,344,306,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,481,345,133,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,271,346,334,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,210,347,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,105,348,330,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,130,349,216,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,157,350,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
