0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,96,31,124,61,330,91,148,121,39
2,88,32,22,62,60,92,309,122,125
3,522,33,207,63,224,93,227,123,57
4,45,34,164,64,44,94,249,124,118
5,100,35,321,65,80,95,274,125,82
6,15,36,93,66,130,96,180,126,232
7,132,37,157,67,131,97,159,127,202
8,21,38,120,68,272,98,420,128,167
9,198,39,106,69,346,99,224,129,211
10,141,40,281,70,347,100,147,130,584
11,170,41,292,71,156,101,251,131,223
12,162,42,488,72,205,102,80,132,183
13,68,43,21,73,197,103,166,133,255
14,97,44,180,74,259,104,431,134,79
15,118,45,155,75,134,105,110,135,156
16,97,46,331,76,121,106,175,136,364
17,72,47,206,77,419,107,312,137,190
18,352,48,195,78,213,108,90,138,629
19,196,49,411,79,143,109,427,139,83
20,437,50,258,80,47,110,276,140,68
21,337,51,191,81,121,111,114,141,95
22,289,52,459,82,112,112,79,,
23,223,53,172,83,175,113,106,,
24,195,54,156,84,123,114,89,,
25,181,55,150,85,359,115,58,,
26,166,56,155,86,580,116,361,,
27,162,57,113,87,191,117,177,,
28,242,58,149,88,290,118,197,,
29,56,59,116,89,50,119,169,,
30,139,60,42,90,442,120,149,,
