0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,222,31,510,61,58,91,89,121,143
2,177,32,87,62,348,92,106,122,129
3,314,33,615,63,497,93,290,123,132
4,479,34,183,64,420,94,131,124,115
5,109,35,15,65,632,95,356,125,346
6,57,36,175,66,115,96,333,126,589
7,137,37,374,67,94,97,63,127,36
8,199,38,79,68,93,98,507,128,178
9,268,39,646,69,401,99,138,129,97
10,284,40,276,70,273,100,80,130,600
11,223,41,60,71,216,101,93,131,124
12,421,42,450,72,143,102,84,132,179
13,94,43,127,73,110,103,486,133,127
14,92,44,88,74,125,104,348,134,349
15,115,45,348,75,160,105,388,135,355
16,135,46,132,76,61,106,80,136,540
17,149,47,35,77,224,107,268,137,40
18,264,48,202,78,549,108,375,138,387
19,466,49,224,79,159,109,428,139,297
20,17,50,89,80,292,110,263,140,47
21,386,51,20,81,118,111,87,141,180
22,440,52,388,82,378,112,518,142,347
23,278,53,97,83,156,113,120,143,42
24,213,54,655,84,595,114,159,144,208
25,630,55,230,85,518,115,522,145,264
26,268,56,530,86,87,116,321,146,354
27,250,57,240,87,151,117,178,147,55
28,220,58,128,88,211,118,213,148,304
29,521,59,140,89,636,119,73,149,111
30,379,60,310,90,467,120,230,150,598
