0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
PRADESH,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,314,31,123,61,348,91,65,121,105,151,145,181,56,211,451,241,71
2,50,32,290,62,65,92,50,122,213,152,155,182,176,212,523,242,160
3,126,33,90,63,283,93,200,123,105,153,231,183,413,213,545,243,215
4,153,34,199,64,142,94,537,124,410,154,181,184,132,214,120,244,105
5,597,35,99,65,537,95,97,125,127,155,255,185,131,215,282,245,167
6,241,36,193,66,50,96,360,126,544,156,302,186,51,216,447,246,341
7,265,37,118,67,43,97,201,127,169,157,343,187,166,217,488,247,35
8,365,38,121,68,472,98,115,128,231,158,433,188,259,218,44,248,43
9,258,39,250,69,36,99,110,129,319,159,623,189,314,219,125,249,155
10,97,40,346,70,22,100,396,130,252,160,108,190,176,220,81,250,226
11,400,41,114,71,499,101,171,131,382,161,37,191,75,221,282,251,403
12,258,42,134,72,275,102,57,132,32,162,458,192,261,222,287,252,199
13,60,43,267,73,82,103,372,133,183,163,389,193,253,223,121,253,78
14,363,44,142,74,66,104,44,134,237,164,90,194,90,224,21,254,292
15,249,45,125,75,-6,105,55,135,430,165,114,195,150,225,244,255,221
16,50,46,108,76,512,106,49,136,370,166,186,196,152,226,194,256,116
17,422,47,592,77,326,107,118,137,528,167,58,197,55,227,144,257,75
18,64,48,170,78,89,108,42,138,124,168,126,198,95,228,360,,
19,250,49,212,79,52,109,10,139,18,169,26,199,244,229,362,,
20,70,50,178,80,110,110,291,140,180,170,143,200,111,230,463,,
21,460,51,214,81,55,111,340,141,161,171,215,201,448,231,238,,
22,200,52,516,82,179,112,89,142,165,172,282,202,518,232,482,,
23,215,53,487,83,254,113,78,143,144,173,134,203,353,233,129,,
24,449,54,200,84,405,114,165,144,230,174,410,204,445,234,433,,
25,22,55,138,85,68,115,399,145,425,175,302,205,422,235,143,,
26,115,56,153,86,526,116,193,146,305,176,532,206,255,236,147,,
27,17,57,80,87,434,117,426,147,263,177,7,207,57,237,55,,
28,149,58,465,88,81,118,209,148,176,178,97,208,244,238,225,,
29,506,59,484,89,122,119,396,149,137,179,441,209,93,239,48,,
30,145,60,269,90,234,120,495,150,133,180,475,210,231,240,85,,
