0,1,2,3,4,5,6,7,8,9,10,11
"KERALA,","KANNUR,",KERALA,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,97,31,158,61,104,91,175,121,125,151,199
2,119,32,388,62,117,92,573,122,270,152,103
3,195,33,582,63,352,93,165,123,231,153,183
4,103,34,151,64,530,94,98,124,535,154,216
5,110,35,265,65,241,95,171,125,162,155,135
6,148,36,700,66,130,96,422,126,208,156,75
7,189,37,195,67,354,97,165,127,672,157,110
8,147,38,90,68,205,98,130,128,90,158,131
9,222,39,68,69,100,99,270,129,285,159,163
10,146,40,292,70,180,100,100,130,216,160,410
11,155,41,71,71,203,101,123,131,438,161,143
12,101,42,104,72,224,102,152,132,108,,
13,166,43,426,73,152,103,121,133,108,,
14,609,44,142,74,67,104,211,134,696,,
15,373,45,369,75,33,105,333,135,267,,
16,40,46,181,76,-3,106,120,136,250,,
17,130,47,402,77,322,107,80,137,18,,
18,62,48,542,78,260,108,182,138,136,,
19,325,49,496,79,442,109,350,139,425,,
20,155,50,323,80,538,110,105,140,295,,
21,315,51,60,81,120,111,88,141,62,,
22,525,52,145,82,238,112,296,142,245,,
23,388,53,390,83,255,113,110,143,81,,
24,132,54,97,84,418,114,81,144,152,,
25,113,55,199,85,185,115,391,145,384,,
26,200,56,206,86,201,116,418,146,458,,
27,82,57,477,87,448,117,188,147,246,,
28,419,58,197,88,220,118,427,148,92,,
29,204,59,446,89,52,119,592,149,151,,
30,287,60,253,90,217,120,574,150,229,,
