0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,
1,50,31,50,61,168,91,30,121,234,151,127,181,53,211,110,241,57,271,160,,
2,133,32,175,62,57,92,75,122,135,152,598,182,687,212,374,242,35,272,296,,
3,302,33,327,63,81,93,89,123,116,153,117,183,593,213,252,243,322,273,255,,
4,243,34,95,64,150,94,549,124,551,154,396,184,163,214,63,244,102,274,176,,
5,166,35,90,65,276,95,191,125,122,155,133,185,190,215,124,245,318,275,26,,
6,149,36,671,66,51,96,400,126,330,156,575,186,346,216,153,246,94,276,123,,
7,366,37,177,67,65,97,258,127,54,157,506,187,60,217,80,247,293,277,174,,
8,388,38,109,68,102,98,156,128,112,158,377,188,109,218,303,248,264,278,165,,
9,33,39,37,69,118,99,152,129,143,159,49,189,25,219,10,249,292,279,308,,
10,80,40,105,70,112,100,451,130,152,160,50,190,186,220,228,250,85,280,99,,
11,95,41,226,71,168,101,420,131,107,161,235,191,373,221,156,251,261,281,106,,
12,93,42,39,72,313,102,329,132,254,162,402,192,135,222,73,252,525,282,584,,
13,90,43,63,73,121,103,297,133,247,163,431,193,278,223,160,253,91,283,282,,
14,200,44,169,74,625,104,199,134,186,164,133,194,71,224,375,254,137,284,484,,
15,105,45,90,75,258,105,71,135,432,165,228,195,97,225,138,255,80,285,118,,
16,84,46,247,76,165,106,155,136,87,166,473,196,122,226,216,256,278,286,142,,
17,587,47,209,77,77,107,257,137,127,167,56,197,193,227,126,257,96,287,138,,
18,474,48,23,78,85,108,70,138,210,168,560,198,265,228,254,258,209,288,223,,
19,85,49,428,79,98,109,179,139,112,169,397,199,186,229,219,259,121,289,248,,
20,322,50,104,80,306,110,77,140,279,170,103,200,85,230,35,260,312,290,117,,
21,207,51,117,81,80,111,104,141,129,171,118,201,255,231,65,261,63,291,115,,
22,562,52,167,82,115,112,151,142,393,172,360,202,565,232,194,262,55,292,205,,
23,279,53,146,83,92,113,145,143,82,173,67,203,462,233,125,263,395,293,110,,
24,44,54,188,84,580,114,130,144,391,174,120,204,438,234,446,264,160,294,103,,
25,202,55,312,85,74,115,229,145,326,175,128,205,172,235,405,265,230,295,97,,
26,441,56,110,86,353,116,119,146,438,176,70,206,274,236,80,266,75,296,252,,
27,241,57,66,87,65,117,145,147,195,177,162,207,93,237,338,267,112,297,143,,
28,220,58,65,88,381,118,138,148,332,178,323,208,132,238,90,268,194,298,131,,
29,64,59,575,89,65,119,63,149,60,179,201,209,52,239,405,269,160,299,611,,
30,225,60,77,90,188,120,249,150,193,180,416,210,494,240,52,270,200,300,119,,
Centre:,451001,CHHAUNI,CHILDREN''S,"ACADEMY,",KATORATAL,"ROAD,FORT","ROAD,","KASHIPUR,",UDHAM,SINGH,"NAGAR,",UDHAM,SINGH,"NAGAR,",UTTARAKHAND,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,
301,253,331,58,361,179,391,447,421,78,,,,,,,,,,,,
302,182,332,368,362,227,392,141,422,101,,,,,,,,,,,,
303,74,333,-2,363,81,393,473,423,206,,,,,,,,,,,,
304,271,334,616,364,163,394,185,424,110,,,,,,,,,,,,
305,171,335,136,365,217,395,88,425,278,,,,,,,,,,,,
306,651,336,465,366,209,396,51,426,182,,,,,,,,,,,,
307,691,337,410,367,427,397,228,427,83,,,,,,,,,,,,
308,377,338,284,368,93,398,615,428,445,,,,,,,,,,,,
309,396,339,157,369,409,399,160,429,321,,,,,,,,,,,,
310,50,340,84,370,189,400,347,430,231,,,,,,,,,,,,
311,254,341,160,371,179,401,278,431,96,,,,,,,,,,,,
312,111,342,244,372,477,402,78,432,35,,,,,,,,,,,,
313,123,343,315,373,493,403,105,433,271,,,,,,,,,,,,
314,641,344,180,374,64,404,199,434,534,,,,,,,,,,,,
315,69,345,13,375,600,405,245,435,146,,,,,,,,,,,,
316,85,346,127,376,108,406,52,436,614,,,,,,,,,,,,
317,192,347,105,377,55,407,349,437,114,,,,,,,,,,,,
318,596,348,167,378,185,408,197,438,160,,,,,,,,,,,,
319,458,349,567,379,245,409,117,439,261,,,,,,,,,,,,
320,118,350,-5,380,228,410,162,440,80,,,,,,,,,,,,
321,200,351,53,381,229,411,163,441,173,,,,,,,,,,,,
322,64,352,312,382,146,412,135,442,117,,,,,,,,,,,,
323,184,353,339,383,140,413,31,443,175,,,,,,,,,,,,
324,99,354,247,384,50,414,105,444,207,,,,,,,,,,,,
325,657,355,56,385,235,415,499,445,108,,,,,,,,,,,,
326,343,356,590,386,235,416,110,446,88,,,,,,,,,,,,
327,115,357,274,387,151,417,331,,,,,,,,,,,,,,
328,2,358,59,388,110,418,89,,,,,,,,,,,,,,
329,132,359,112,389,127,419,348,,,,,,,,,,,,,,
330,212,360,135,390,51,420,152,,,,,,,,,,,,,,
