0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,0,31,407,61,70,91,90,121,105,151,144,181,83
2,91,32,84,62,276,92,81,122,61,152,35,182,630
3,94,33,105,63,135,93,67,123,48,153,119,,
4,37,34,102,64,170,94,94,124,-26,154,159,,
5,188,35,150,65,33,95,158,125,38,155,85,,
6,60,36,277,66,81,96,40,126,104,156,112,,
7,153,37,231,67,374,97,105,127,94,157,133,,
8,118,38,116,68,97,98,85,128,219,158,311,,
9,110,39,176,69,59,99,109,129,95,159,90,,
10,345,40,125,70,110,100,146,130,99,160,99,,
11,151,41,136,71,33,101,146,131,82,161,169,,
12,85,42,104,72,217,102,86,132,227,162,474,,
13,114,43,86,73,116,103,85,133,143,163,95,,
14,445,44,33,74,124,104,66,134,49,164,106,,
15,150,45,205,75,303,105,192,135,168,165,266,,
16,80,46,95,76,68,106,87,136,110,166,150,,
17,30,47,291,77,55,107,122,137,349,167,17,,
18,326,48,296,78,82,108,105,138,440,168,102,,
19,110,49,75,79,173,109,227,139,-12,169,184,,
20,77,50,61,80,366,110,213,140,94,170,234,,
21,105,51,68,81,45,111,206,141,131,171,277,,
22,91,52,87,82,234,112,75,142,98,172,163,,
23,44,53,324,83,271,113,258,143,571,173,87,,
24,128,54,20,84,58,114,27,144,200,174,85,,
25,159,55,88,85,70,115,250,145,31,175,107,,
26,61,56,31,86,149,116,96,146,65,176,338,,
27,255,57,78,87,97,117,85,147,97,177,104,,
28,105,58,98,88,115,118,165,148,96,178,120,,
29,61,59,110,89,114,119,78,149,215,179,557,,
30,99,60,92,90,137,120,258,150,86,180,391,,
