0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,235,31,43,61,83,91,60,121,-5,151,48
2,204,32,276,62,108,92,26,122,46,152,237
3,38,33,355,63,50,93,120,123,50,153,207
4,55,34,219,64,196,94,24,124,16,154,66
5,75,35,343,65,130,95,105,125,-9,155,57
6,-40,36,36,66,100,96,48,126,213,156,15
7,371,37,86,67,64,97,30,127,31,157,208
8,76,38,184,68,110,98,90,128,21,158,257
9,100,39,656,69,95,99,230,129,65,159,87
10,65,40,123,70,130,100,140,130,25,160,155
11,141,41,593,71,72,101,240,131,94,161,122
12,140,42,199,72,26,102,141,132,53,,
13,65,43,68,73,95,103,111,133,220,,
14,60,44,55,74,65,104,136,134,150,,
15,195,45,92,75,266,105,138,135,313,,
16,82,46,60,76,40,106,89,136,115,,
17,78,47,146,77,30,107,568,137,280,,
18,66,48,603,78,107,108,-5,138,86,,
19,73,49,46,79,177,109,24,139,64,,
20,31,50,48,80,75,110,47,140,86,,
21,31,51,40,81,50,111,30,141,76,,
22,0,52,406,82,327,112,30,142,162,,
23,79,53,172,83,-10,113,26,143,65,,
24,104,54,359,84,174,114,5,144,126,,
25,82,55,306,85,67,115,-1,145,13,,
26,81,56,66,86,67,116,40,146,22,,
27,75,57,228,87,146,117,125,147,219,,
28,285,58,284,88,74,118,430,148,180,,
29,309,59,73,89,58,119,240,149,25,,
30,156,60,147,90,139,120,235,150,120,,
