0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
INDORE,MADHYA,"PRADESH,","INDORE,",MADHYA,PRADESH,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,383,31,194,61,118,91,225,121,1,151,180,181,31,211,224
2,36,32,85,62,12,92,160,122,37,152,259,182,541,212,237
3,35,33,104,63,99,93,282,123,403,153,60,183,400,213,20
4,93,34,138,64,19,94,38,124,345,154,91,184,255,214,54
5,228,35,10,65,137,95,353,125,105,155,61,185,84,215,155
6,163,36,204,66,259,96,83,126,430,156,331,186,50,216,213
7,47,37,137,67,492,97,70,127,89,157,101,187,46,217,58
8,149,38,76,68,43,98,55,128,159,158,20,188,76,218,316
9,417,39,66,69,85,99,200,129,325,159,274,189,348,219,52
10,10,40,171,70,94,100,55,130,70,160,478,190,124,220,311
11,76,41,57,71,350,101,64,131,176,161,277,191,80,221,300
12,45,42,85,72,54,102,107,132,137,162,144,192,55,222,81
13,70,43,0,73,109,103,302,133,173,163,338,193,280,223,390
14,85,44,32,74,99,104,97,134,66,164,111,194,445,224,85
15,229,45,517,75,151,105,341,135,113,165,204,195,71,225,360
16,78,46,49,76,75,106,35,136,401,166,334,196,150,226,40
17,87,47,55,77,86,107,0,137,27,167,242,197,105,,
18,75,48,40,78,213,108,245,138,36,168,226,198,186,,
19,75,49,135,79,79,109,66,139,293,169,19,199,167,,
20,40,50,270,80,24,110,61,140,147,170,75,200,75,,
21,217,51,61,81,35,111,423,141,11,171,65,201,265,,
22,83,52,131,82,197,112,204,142,75,172,40,202,297,,
23,272,53,111,83,189,113,95,143,107,173,103,203,105,,
24,4,54,100,84,238,114,144,144,27,174,98,204,71,,
25,274,55,55,85,380,115,94,145,50,175,45,205,376,,
26,289,56,16,86,88,116,218,146,107,176,140,206,309,,
27,33,57,78,87,82,117,85,147,382,177,62,207,334,,
28,101,58,39,88,351,118,62,148,115,178,69,208,103,,
29,160,59,30,89,201,119,58,149,36,179,357,209,120,,
30,117,60,251,90,174,120,98,150,104,180,50,210,94,,
