0,1,2,3,4,5
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,94,31,124,61,168
2,87,32,113,62,81
3,109,33,56,,
4,153,34,116,,
5,62,35,96,,
6,51,36,25,,
7,76,37,139,,
8,52,38,90,,
9,241,39,219,,
10,399,40,120,,
11,118,41,110,,
12,95,42,179,,
13,104,43,63,,
14,131,44,142,,
15,344,45,149,,
16,156,46,20,,
17,135,47,110,,
18,37,48,106,,
19,41,49,321,,
20,104,50,155,,
21,32,51,-4,,
22,70,52,169,,
23,258,53,143,,
24,141,54,54,,
25,322,55,35,,
26,-3,56,111,,
27,190,57,57,,
28,110,58,137,,
29,85,59,111,,
30,42,60,264,,
