0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,500,31,105,61,100,91,44,121,67,151,509
2,34,32,222,62,359,92,95,122,99,152,48
3,78,33,48,63,61,93,219,123,58,153,182
4,129,34,244,64,40,94,66,124,53,154,212
5,184,35,290,65,25,95,30,125,92,155,303
6,268,36,40,66,89,96,59,126,16,156,154
7,112,37,110,67,531,97,28,127,236,157,120
8,100,38,51,68,81,98,156,128,270,,
9,90,39,68,69,406,99,401,129,135,,
10,412,40,62,70,57,100,69,130,90,,
11,109,41,133,71,175,101,593,131,74,,
12,74,42,84,72,281,102,125,132,190,,
13,113,43,38,73,1,103,1,133,140,,
14,58,44,138,74,201,104,92,134,146,,
15,66,45,530,75,19,105,73,135,215,,
16,331,46,128,76,124,106,197,136,32,,
17,47,47,255,77,63,107,97,137,343,,
18,96,48,686,78,93,108,146,138,151,,
19,124,49,75,79,69,109,70,139,71,,
20,149,50,27,80,90,110,64,140,120,,
21,110,51,124,81,57,111,485,141,43,,
22,223,52,225,82,191,112,64,142,187,,
23,27,53,110,83,71,113,59,143,15,,
24,10,54,125,84,45,114,131,144,167,,
25,63,55,51,85,81,115,75,145,44,,
26,87,56,27,86,128,116,543,146,195,,
27,1,57,160,87,62,117,270,147,304,,
28,86,58,287,88,109,118,105,148,28,,
29,51,59,240,89,359,119,387,149,35,,
30,302,60,105,90,43,120,629,150,646,,
