0,1,2,3,4,5,6,7
ODISHA,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,54,31,28,61,102,91,395
2,134,32,68,62,-3,92,121
3,101,33,47,63,474,93,280
4,82,34,73,64,205,94,114
5,50,35,95,65,180,95,680
6,111,36,622,66,78,96,52
7,89,37,60,67,344,97,60
8,160,38,33,68,136,98,79
9,85,39,171,69,243,99,33
10,157,40,249,70,28,100,81
11,124,41,284,71,203,101,54
12,161,42,530,72,137,102,97
13,97,43,125,73,52,103,136
14,70,44,329,74,220,104,103
15,532,45,261,75,180,105,38
16,263,46,183,76,113,106,34
17,286,47,206,77,56,107,338
18,43,48,50,78,133,108,399
19,94,49,183,79,45,109,61
20,97,50,78,80,50,110,100
21,176,51,155,81,80,111,256
22,55,52,40,82,200,,
23,382,53,229,83,128,,
24,290,54,66,84,78,,
25,33,55,147,85,636,,
26,83,56,84,86,304,,
27,261,57,612,87,205,,
28,65,58,219,88,90,,
29,371,59,43,89,555,,
30,69,60,45,90,137,,
