0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,134,31,79,61,611,91,76,121,85,151,171,181,144,211,86,241,53
2,53,32,205,62,118,92,342,122,152,152,130,182,39,212,-3,242,167
3,229,33,112,63,60,93,384,123,81,153,47,183,106,213,135,243,97
4,84,34,252,64,125,94,64,124,251,154,218,184,-1,214,97,244,159
5,603,35,140,65,105,95,246,125,418,155,145,185,273,215,84,245,301
6,469,36,11,66,46,96,-1,126,39,156,43,186,170,216,58,246,24
7,44,37,115,67,64,97,164,127,27,157,589,187,95,217,152,247,486
8,133,38,23,68,89,98,-10,128,277,158,122,188,25,218,74,248,116
9,82,39,80,69,199,99,169,129,195,159,402,189,261,219,63,249,32
10,220,40,75,70,74,100,130,130,45,160,35,190,518,220,73,250,65
11,72,41,208,71,451,101,110,131,127,161,457,191,60,221,631,251,62
12,626,42,60,72,34,102,305,132,291,162,246,192,123,222,24,252,222
13,474,43,543,73,50,103,49,133,485,163,387,193,142,223,156,253,31
14,110,44,154,74,70,104,92,134,593,164,53,194,124,224,110,254,640
15,44,45,43,75,323,105,35,135,116,165,58,195,125,225,211,255,346
16,70,46,173,76,672,106,77,136,45,166,70,196,30,226,185,256,68
17,308,47,353,77,64,107,55,137,416,167,86,197,86,227,50,257,113
18,86,48,268,78,246,108,163,138,81,168,241,198,32,228,132,258,375
19,60,49,419,79,127,109,48,139,54,169,211,199,211,229,134,259,83
20,25,50,107,80,157,110,218,140,163,170,43,200,197,230,415,260,23
21,416,51,95,81,70,111,216,141,260,171,249,201,94,231,80,261,109
22,412,52,75,82,440,112,125,142,13,172,57,202,208,232,153,262,453
23,237,53,82,83,318,113,66,143,293,173,259,203,74,233,108,263,125
24,133,54,60,84,286,114,523,144,46,174,86,204,55,234,90,264,91
25,115,55,112,85,115,115,75,145,157,175,150,205,156,235,60,265,452
26,123,56,159,86,64,116,63,146,582,176,61,206,40,236,110,266,26
27,95,57,206,87,119,117,481,147,311,177,55,207,327,237,64,267,168
28,30,58,262,88,113,118,98,148,74,178,79,208,5,238,650,268,170
29,139,59,624,89,94,119,82,149,38,179,57,209,83,239,49,,
30,496,60,89,90,312,120,44,150,75,180,45,210,637,240,64,,
