0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,
1,392,31,197,61,263,91,543,121,641,151,375,181,570,211,85,241,584,271,237,
2,65,32,50,62,427,92,111,122,53,152,40,182,534,212,347,242,71,272,125,
3,110,33,309,63,56,93,42,123,420,153,355,183,449,213,96,243,653,273,192,
4,377,34,58,64,33,94,403,124,347,154,162,184,138,214,385,244,61,274,421,
5,473,35,387,65,75,95,98,125,63,155,98,185,121,215,100,245,338,275,252,
6,43,36,239,66,59,96,210,126,490,156,560,186,90,216,368,246,404,276,99,
7,99,37,55,67,272,97,228,127,601,157,107,187,105,217,140,247,41,277,326,
8,66,38,62,68,237,98,263,128,196,158,134,188,45,218,92,248,197,278,107,
9,85,39,90,69,235,99,102,129,620,159,163,189,125,219,57,249,91,279,45,
10,217,40,46,70,40,100,65,130,36,160,592,190,2,220,25,250,96,280,101,
11,387,41,118,71,46,101,122,131,70,161,112,191,224,221,410,251,52,281,95,
12,453,42,55,72,239,102,66,132,379,162,115,192,94,222,123,252,406,282,445,
13,309,43,473,73,313,103,449,133,77,163,195,193,114,223,113,253,224,283,71,
14,164,44,188,74,34,104,200,134,72,164,131,194,287,224,60,254,60,284,48,
15,298,45,59,75,272,105,240,135,112,165,402,195,135,225,450,255,185,285,46,
16,118,46,52,76,315,106,59,136,104,166,117,196,31,226,163,256,295,286,180,
17,88,47,212,77,7,107,292,137,50,167,35,197,83,227,106,257,153,287,198,
18,100,48,362,78,70,108,55,138,162,168,90,198,44,228,85,258,7,288,35,
19,55,49,145,79,65,109,75,139,413,169,45,199,52,229,41,259,167,289,169,
20,88,50,101,80,136,110,574,140,169,170,423,200,346,230,42,260,71,290,56,
21,110,51,233,81,115,111,36,141,135,171,120,201,120,231,616,261,99,291,15,
22,21,52,74,82,140,112,151,142,368,172,131,202,87,232,166,262,120,292,306,
23,147,53,103,83,69,113,38,143,69,173,82,203,50,233,72,263,80,293,97,
24,45,54,101,84,162,114,370,144,24,174,270,204,138,234,4,264,25,294,150,
25,246,55,101,85,154,115,10,145,21,175,85,205,76,235,75,265,217,295,296,
26,65,56,70,86,123,116,256,146,95,176,296,206,218,236,264,266,165,296,243,
27,58,57,460,87,110,117,427,147,671,177,433,207,261,237,118,267,94,297,146,
28,55,58,78,88,70,118,493,148,113,178,607,208,71,238,56,268,323,298,100,
29,60,59,154,89,335,119,85,149,658,179,22,209,7,239,200,269,106,299,73,
30,42,60,60,90,197,120,60,150,109,180,29,210,40,240,289,270,65,300,73,
Centre:,301903,S.,L.,MEMORIAL,SENIOR,SECONDARY,"SCHOOL,",BHAGAT,SINGH,COLONY,"GUNA,","GUNA,",MADHYA,PRADESH,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,
301,260,331,48,361,75,391,232,421,120,451,225,481,206,,,,,,,
302,38,332,60,362,407,392,286,422,201,452,381,482,69,,,,,,,
303,56,333,68,363,114,393,94,423,5,453,229,483,122,,,,,,,
304,70,334,119,364,301,394,56,424,49,454,513,484,548,,,,,,,
305,145,335,20,365,61,395,112,425,35,455,171,485,63,,,,,,,
306,80,336,180,366,80,396,324,426,127,456,95,486,83,,,,,,,
307,61,337,105,367,215,397,88,427,62,457,97,487,52,,,,,,,
308,492,338,103,368,101,398,87,428,75,458,86,488,65,,,,,,,
309,138,339,18,369,49,399,385,429,206,459,114,489,132,,,,,,,
310,27,340,51,370,60,400,246,430,506,460,327,490,75,,,,,,,
311,82,341,73,371,18,401,44,431,68,461,34,491,140,,,,,,,
312,123,342,92,372,77,402,131,432,81,462,271,492,407,,,,,,,
313,110,343,92,373,418,403,110,433,58,463,37,,,,,,,,,
314,75,344,80,374,40,404,188,434,396,464,55,,,,,,,,,
315,34,345,555,375,66,405,38,435,95,465,407,,,,,,,,,
316,26,346,81,376,93,406,60,436,65,466,90,,,,,,,,,
317,397,347,95,377,274,407,67,437,591,467,195,,,,,,,,,
318,85,348,108,378,60,408,235,438,230,468,40,,,,,,,,,
319,514,349,90,379,101,409,15,439,115,469,48,,,,,,,,,
320,347,350,132,380,30,410,78,440,110,470,564,,,,,,,,,
321,177,351,150,381,372,411,76,441,152,471,35,,,,,,,,,
322,46,352,299,382,75,412,154,442,584,472,70,,,,,,,,,
323,69,353,135,383,48,413,83,443,56,473,86,,,,,,,,,
324,325,354,20,384,246,414,161,444,65,474,19,,,,,,,,,
325,264,355,105,385,259,415,49,445,370,475,135,,,,,,,,,
326,59,356,77,386,491,416,180,446,197,476,61,,,,,,,,,
327,451,357,199,387,368,417,187,447,200,477,80,,,,,,,,,
328,420,358,128,388,41,418,0,448,75,478,55,,,,,,,,,
329,90,359,65,389,173,419,148,449,145,479,108,,,,,,,,,
330,136,360,110,390,70,420,60,450,148,480,190,,,,,,,,,
