0,1,2,3,4,5,6,7,8,9,10,11,12,13
MAHARASHTRA,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,94,31,232,61,64,91,26,121,65,151,385,181,281
2,75,32,77,62,113,92,116,122,75,152,125,182,274
3,189,33,302,63,209,93,162,123,200,153,55,183,318
4,251,34,178,64,105,94,206,124,59,154,174,184,174
5,453,35,190,65,93,95,26,125,399,155,202,185,67
6,221,36,114,66,42,96,314,126,93,156,80,186,196
7,150,37,570,67,84,97,175,127,98,157,178,187,6
8,42,38,15,68,45,98,106,128,85,158,85,188,581
9,67,39,91,69,85,99,62,129,80,159,351,189,422
10,102,40,368,70,63,100,36,130,104,160,332,190,94
11,83,41,304,71,78,101,162,131,136,161,245,191,100
12,145,42,11,72,302,102,371,132,101,162,52,192,115
13,141,43,80,73,106,103,60,133,245,163,557,193,67
14,58,44,30,74,67,104,261,134,-2,164,380,194,108
15,251,45,119,75,10,105,82,135,25,165,210,195,5
16,96,46,253,76,56,106,306,136,505,166,43,196,304
17,395,47,38,77,380,107,314,137,90,167,-4,197,7
18,16,48,143,78,152,108,139,138,66,168,195,198,571
19,141,49,82,79,45,109,115,139,78,169,45,199,43
20,168,50,333,80,190,110,76,140,75,170,617,200,155
21,76,51,447,81,119,111,71,141,350,171,251,201,239
22,20,52,61,82,68,112,74,142,71,172,45,202,111
23,233,53,453,83,73,113,135,143,30,173,58,203,100
24,145,54,143,84,175,114,223,144,441,174,307,204,101
25,204,55,33,85,261,115,103,145,60,175,41,205,181
26,-13,56,78,86,49,116,72,146,177,176,296,206,70
27,532,57,214,87,130,117,60,147,29,177,189,,
28,41,58,465,88,234,118,109,148,57,178,98,,
29,422,59,93,89,368,119,501,149,234,179,207,,
30,165,60,133,90,111,120,93,150,143,180,314,,
