0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,283,31,134,61,271,91,43,121,82,151,294
2,65,32,377,62,138,92,268,122,79,152,198
3,142,33,69,63,35,93,78,123,334,153,576
4,118,34,141,64,124,94,135,124,298,154,211
5,137,35,137,65,111,95,690,125,257,155,60
6,143,36,60,66,600,96,91,126,205,156,203
7,28,37,361,67,218,97,80,127,15,157,78
8,312,38,80,68,43,98,122,128,156,,
9,30,39,120,69,111,99,79,129,77,,
10,130,40,159,70,168,100,5,130,87,,
11,148,41,98,71,61,101,257,131,207,,
12,103,42,25,72,125,102,255,132,375,,
13,188,43,55,73,305,103,77,133,221,,
14,17,44,223,74,409,104,110,134,195,,
15,375,45,460,75,108,105,175,135,213,,
16,189,46,121,76,12,106,55,136,104,,
17,200,47,282,77,195,107,117,137,258,,
18,142,48,276,78,349,108,176,138,142,,
19,365,49,52,79,326,109,14,139,322,,
20,50,50,115,80,297,110,71,140,51,,
21,211,51,442,81,236,111,109,141,58,,
22,135,52,198,82,421,112,53,142,136,,
23,75,53,54,83,69,113,261,143,584,,
24,73,54,289,84,239,114,480,144,220,,
25,134,55,381,85,74,115,-34,145,373,,
26,35,56,292,86,134,116,115,146,77,,
27,131,57,141,87,348,117,120,147,152,,
28,174,58,108,88,135,118,311,148,172,,
29,102,59,163,89,42,119,39,149,30,,
30,70,60,127,90,173,120,146,150,594,,
