0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,94,31,333,61,286,91,67,121,210,151,160,181,219,211,14,241,536,271,106
2,25,32,55,62,119,92,188,122,104,152,48,182,197,212,116,242,140,272,83
3,100,33,85,63,515,93,429,123,37,153,466,183,45,213,49,243,415,273,160
4,55,34,64,64,164,94,94,124,150,154,118,184,74,214,90,244,77,274,195
5,106,35,156,65,102,95,313,125,283,155,142,185,63,215,103,245,463,275,140
6,211,36,93,66,605,96,291,126,164,156,532,186,112,216,80,246,35,276,216
7,83,37,60,67,151,97,587,127,52,157,318,187,85,217,146,247,170,277,420
8,94,38,163,68,283,98,50,128,65,158,93,188,70,218,338,248,152,278,45
9,59,39,106,69,444,99,99,129,114,159,54,189,30,219,156,249,530,279,63
10,137,40,266,70,281,100,63,130,111,160,314,190,55,220,191,250,152,280,40
11,238,41,336,71,55,101,304,131,365,161,343,191,119,221,151,251,115,281,70
12,73,42,87,72,24,102,137,132,69,162,295,192,262,222,426,252,125,282,42
13,216,43,314,73,59,103,65,133,90,163,223,193,49,223,311,253,419,283,61
14,94,44,181,74,40,104,281,134,25,164,538,194,93,224,261,254,82,284,120
15,93,45,43,75,142,105,370,135,111,165,5,195,65,225,167,255,239,285,48
16,322,46,87,76,338,106,653,136,53,166,50,196,411,226,260,256,50,286,283
17,12,47,100,77,545,107,37,137,304,167,108,197,104,227,39,257,220,287,302
18,65,48,207,78,165,108,18,138,509,168,99,198,63,228,125,258,39,288,79
19,202,49,107,79,370,109,133,139,65,169,91,199,73,229,227,259,263,289,145
20,123,50,139,80,349,110,390,140,199,170,72,200,168,230,551,260,51,290,123
21,182,51,180,81,235,111,164,141,65,171,228,201,311,231,566,261,111,291,79
22,89,52,60,82,9,112,190,142,501,172,236,202,181,232,230,262,131,292,308
23,119,53,158,83,88,113,273,143,81,173,198,203,291,233,224,263,90,293,160
24,110,54,71,84,352,114,137,144,595,174,63,204,121,234,80,264,298,294,39
25,80,55,141,85,281,115,55,145,93,175,50,205,71,235,521,265,170,295,105
26,126,56,26,86,60,116,70,146,40,176,434,206,80,236,42,266,48,296,83
27,230,57,135,87,383,117,82,147,103,177,88,207,310,237,113,267,320,297,378
28,183,58,86,88,66,118,12,148,112,178,60,208,243,238,39,268,84,298,361
29,73,59,374,89,123,119,239,149,36,179,43,209,143,239,335,269,116,299,33
30,51,60,128,90,214,120,253,150,522,180,71,210,186,240,208,270,117,300,195
Centre:,210202,PONDA,EDUCATION,SOCIETY,COLLEGE,OF,"PHARMACY,",FARMAGUDI,PONDA,"GOA,","PONDA,",GOA,NEET,(UG),2024,Page,No.,2,
Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,
301,90,331,256,,,,,,,,,,,,,,,,
302,338,332,387,,,,,,,,,,,,,,,,
303,194,333,55,,,,,,,,,,,,,,,,
304,74,334,300,,,,,,,,,,,,,,,,
305,90,335,126,,,,,,,,,,,,,,,,
306,229,336,374,,,,,,,,,,,,,,,,
307,232,337,376,,,,,,,,,,,,,,,,
308,33,338,50,,,,,,,,,,,,,,,,
309,95,339,154,,,,,,,,,,,,,,,,
310,223,340,102,,,,,,,,,,,,,,,,
311,66,341,51,,,,,,,,,,,,,,,,
312,170,342,35,,,,,,,,,,,,,,,,
313,105,343,46,,,,,,,,,,,,,,,,
314,254,344,46,,,,,,,,,,,,,,,,
315,239,345,151,,,,,,,,,,,,,,,,
316,32,346,151,,,,,,,,,,,,,,,,
317,170,347,141,,,,,,,,,,,,,,,,
318,185,348,438,,,,,,,,,,,,,,,,
319,56,349,184,,,,,,,,,,,,,,,,
320,115,350,215,,,,,,,,,,,,,,,,
321,148,351,154,,,,,,,,,,,,,,,,
322,319,352,280,,,,,,,,,,,,,,,,
323,26,,,,,,,,,,,,,,,,,,
324,105,,,,,,,,,,,,,,,,,,
325,362,,,,,,,,,,,,,,,,,,
326,265,,,,,,,,,,,,,,,,,,
327,80,,,,,,,,,,,,,,,,,,
328,21,,,,,,,,,,,,,,,,,,
329,173,,,,,,,,,,,,,,,,,,
330,257,,,,,,,,,,,,,,,,,,
