0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,
1,161,31,251,61,635,91,323,121,642,151,259,181,10,211,270,241,405,271,182,,,
2,387,32,226,62,256,92,161,122,464,152,543,182,260,212,168,242,443,272,130,,,
3,543,33,135,63,417,93,385,123,98,153,408,183,85,213,106,243,309,273,368,,,
4,473,34,472,64,124,94,97,124,70,154,162,184,267,214,174,244,515,274,284,,,
5,230,35,199,65,261,95,142,125,172,155,167,185,336,215,161,245,260,275,74,,,
6,169,36,275,66,120,96,441,126,352,156,315,186,206,216,172,246,35,276,235,,,
7,472,37,678,67,134,97,201,127,158,157,304,187,265,217,254,247,573,277,73,,,
8,105,38,162,68,250,98,80,128,436,158,673,188,302,218,324,248,100,278,641,,,
9,36,39,96,69,369,99,157,129,509,159,270,189,76,219,157,249,336,279,198,,,
10,120,40,221,70,105,100,647,130,75,160,364,190,45,220,626,250,176,280,85,,,
11,433,41,358,71,615,101,598,131,165,161,707,191,61,221,226,251,147,281,589,,,
12,211,42,366,72,115,102,472,132,333,162,190,192,605,222,144,252,557,282,286,,,
13,137,43,637,73,555,103,68,133,369,163,294,193,196,223,334,253,478,283,212,,,
14,275,44,599,74,181,104,173,134,524,164,179,194,220,224,396,254,349,284,548,,,
15,120,45,670,75,66,105,135,135,110,165,262,195,188,225,403,255,445,285,514,,,
16,114,46,120,76,628,106,520,136,102,166,241,196,135,226,441,256,129,286,213,,,
17,278,47,501,77,247,107,202,137,182,167,267,197,458,227,61,257,123,287,638,,,
18,175,48,76,78,397,108,385,138,612,168,390,198,381,228,610,258,680,288,426,,,
19,222,49,247,79,140,109,199,139,222,169,139,199,171,229,106,259,281,289,585,,,
20,218,50,505,80,140,110,175,140,247,170,407,200,155,230,201,260,496,290,292,,,
21,191,51,300,81,130,111,280,141,15,171,261,201,200,231,271,261,135,291,553,,,
22,146,52,231,82,203,112,220,142,166,172,144,202,348,232,96,262,131,292,405,,,
23,252,53,138,83,219,113,474,143,361,173,261,203,227,233,108,263,637,293,100,,,
24,227,54,682,84,382,114,252,144,110,174,254,204,662,234,370,264,241,294,179,,,
25,514,55,235,85,279,115,214,145,625,175,347,205,165,235,419,265,496,295,507,,,
26,442,56,480,86,185,116,383,146,455,176,92,206,130,236,129,266,295,296,-1,,,
27,220,57,641,87,172,117,511,147,240,177,374,207,632,237,317,267,525,297,258,,,
28,489,58,105,88,265,118,376,148,94,178,86,208,637,238,34,268,434,298,60,,,
29,471,59,44,89,286,119,591,149,489,179,47,209,156,239,333,269,27,299,270,,,
30,127,60,200,90,131,120,150,150,163,180,562,210,254,240,302,270,357,300,453,,,
Centre:,280903,MALABAR,CENTRAL,"SCHOOL,",GREEM,HILLS,VALIYAARAMBA,PUKAYOOR,ROAD,THALAPPARA,NEAR,VALIYAPARAMB,JUMA,"MASJID,","MALAPPURAM,",KERALA,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,
301,442,331,340,361,283,391,338,421,149,451,187,481,285,511,178,541,123,571,373,,,
302,558,332,472,362,515,392,219,422,614,452,589,482,522,512,108,542,108,572,392,,,
303,553,333,215,363,86,393,187,423,155,453,247,483,630,513,215,543,560,573,433,,,
304,246,334,229,364,291,394,70,424,448,454,209,484,638,514,159,544,205,574,150,,,
305,182,335,596,365,208,395,65,425,74,455,174,485,14,515,352,545,103,575,249,,,
306,173,336,82,366,126,396,373,426,118,456,341,486,106,516,333,546,372,576,460,,,
307,98,337,89,367,223,397,294,427,249,457,148,487,46,517,186,547,400,577,143,,,
308,396,338,589,368,389,398,71,428,458,458,257,488,153,518,283,548,649,578,20,,,
309,298,339,85,369,612,399,130,429,217,459,191,489,321,519,210,549,95,579,503,,,
310,92,340,75,370,180,400,466,430,68,460,185,490,275,520,191,550,442,580,645,,,
311,345,341,202,371,169,401,547,431,202,461,280,491,629,521,398,551,139,581,307,,,
312,242,342,511,372,347,402,187,432,225,462,584,492,243,522,150,552,181,582,165,,,
313,671,343,257,373,291,403,191,433,224,463,474,493,85,523,547,553,564,583,157,,,
314,87,344,146,374,100,404,548,434,616,464,187,494,119,524,82,554,139,584,504,,,
315,654,345,432,375,300,405,194,435,278,465,120,495,190,525,226,555,143,585,458,,,
316,328,346,167,376,191,406,94,436,564,466,162,496,690,526,79,556,534,586,554,,,
317,222,347,511,377,140,407,465,437,395,467,681,497,430,527,122,557,455,587,623,,,
318,381,348,235,378,73,408,348,438,224,468,174,498,218,528,170,558,27,588,92,,,
