0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,
1,370,31,572,61,377,91,283,121,380,151,85,181,72,211,48,241,138,271,561,,
2,47,32,245,62,85,92,465,122,84,152,86,182,478,212,71,242,-7,272,138,,
3,442,33,65,63,173,93,168,123,55,153,157,183,190,213,126,243,40,273,356,,
4,258,34,39,64,265,94,60,124,67,154,50,184,81,214,273,244,235,274,243,,
5,55,35,115,65,194,95,184,125,50,155,325,185,132,215,55,245,200,275,29,,
6,370,36,124,66,383,96,612,126,112,156,354,186,667,216,473,246,346,276,77,,
7,540,37,89,67,23,97,167,127,41,157,241,187,209,217,45,247,90,277,333,,
8,101,38,108,68,208,98,146,128,72,158,83,188,85,218,457,248,265,278,252,,
9,123,39,25,69,383,99,227,129,90,159,268,189,206,219,486,249,657,279,153,,
10,12,40,90,70,34,100,68,130,100,160,67,190,135,220,416,250,67,280,453,,
11,89,41,232,71,538,101,126,131,85,161,157,191,16,221,129,251,178,281,181,,
12,132,42,137,72,138,102,29,132,136,162,445,192,87,222,74,252,44,282,-3,,
13,544,43,75,73,175,103,244,133,172,163,328,193,273,223,416,253,10,283,241,,
14,140,44,182,74,39,104,227,134,125,164,351,194,275,224,100,254,200,284,382,,
15,233,45,109,75,45,105,77,135,164,165,465,195,107,225,45,255,30,285,176,,
16,38,46,93,76,427,106,54,136,122,166,32,196,265,226,10,256,159,286,50,,
17,542,47,460,77,183,107,48,137,122,167,638,197,11,227,166,257,112,287,316,,
18,469,48,104,78,290,108,125,138,152,168,305,198,247,228,182,258,392,288,597,,
19,562,49,46,79,49,109,133,139,166,169,114,199,446,229,545,259,78,289,339,,
20,139,50,573,80,488,110,324,140,249,170,125,200,499,230,71,260,150,290,294,,
21,159,51,67,81,100,111,278,141,87,171,286,201,191,231,182,261,44,291,238,,
22,36,52,0,82,106,112,172,142,441,172,171,202,434,232,133,262,111,292,122,,
23,607,53,287,83,334,113,214,143,41,173,121,203,79,233,446,263,96,293,86,,
24,103,54,617,84,160,114,102,144,346,174,27,204,88,234,147,264,91,294,84,,
25,245,55,367,85,90,115,103,145,281,175,85,205,445,235,158,265,415,295,147,,
26,148,56,22,86,93,116,143,146,97,176,523,206,368,236,181,266,173,296,331,,
27,125,57,136,87,97,117,275,147,39,177,60,207,100,237,341,267,114,297,157,,
28,65,58,55,88,31,118,142,148,105,178,136,208,219,238,457,268,129,298,254,,
29,45,59,216,89,89,119,126,149,30,179,132,209,122,239,602,269,340,299,71,,
30,294,60,443,90,109,120,372,150,68,180,156,210,567,240,93,270,65,300,183,,
Centre:,300108,DELHI,PUBLIC,SCHOOL,KOLAR,ROAD,"BHOPAL,",BAIRAGARH,CHICHLI,KOLAR,ROAD,"BHOPAL,","BHOPAL,",MADHYA,PRADESH,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,
301,146,331,284,361,125,391,137,421,437,451,330,481,172,511,157,541,221,571,166,,
302,102,332,255,362,342,392,353,422,117,452,356,482,241,512,430,542,552,572,205,,
303,51,333,317,363,99,393,136,423,221,453,53,483,69,513,75,543,348,573,277,,
304,499,334,66,364,79,394,494,424,325,454,105,484,61,514,56,544,85,574,246,,
305,471,335,416,365,324,395,85,425,184,455,361,485,285,515,223,545,111,575,80,,
306,81,336,151,366,90,396,130,426,155,456,40,486,-4,516,632,546,348,576,108,,
307,101,337,138,367,130,397,99,427,63,457,327,487,336,517,150,547,116,,,,
308,214,338,75,368,478,398,128,428,167,458,176,488,15,518,60,548,30,,,,
309,278,339,60,369,491,399,24,429,151,459,77,489,469,519,251,549,347,,,,
310,440,340,180,370,587,400,445,430,15,460,420,490,161,520,311,550,422,,,,
311,131,341,145,371,112,401,52,431,175,461,341,491,608,521,103,551,290,,,,
312,98,342,144,372,114,402,160,432,143,462,328,492,458,522,46,552,562,,,,
313,105,343,216,373,74,403,45,433,140,463,48,493,404,523,381,553,298,,,,
314,75,344,266,374,149,404,152,434,348,464,-3,494,19,524,-2,554,41,,,,
315,98,345,141,375,229,405,33,435,263,465,78,495,188,525,354,555,80,,,,
316,131,346,245,376,383,406,279,436,83,466,23,496,10,526,99,556,295,,,,
317,193,347,53,377,222,407,202,437,73,467,212,497,501,527,538,557,351,,,,
318,404,348,95,378,90,408,458,438,52,468,124,498,-5,528,96,558,98,,,,
319,131,349,42,379,133,409,76,439,28,469,200,499,50,529,350,559,107,,,,
320,254,350,187,380,112,410,80,440,184,470,107,500,25,530,14,560,80,,,,
321,40,351,125,381,67,411,104,441,59,471,193,501,125,531,208,561,579,,,,
322,65,352,87,382,412,412,75,442,132,472,335,502,45,532,119,562,664,,,,
323,213,353,504,383,209,413,210,443,216,473,42,503,90,533,119,563,74,,,,
324,100,354,79,384,384,414,406,444,360,474,149,504,218,534,135,564,314,,,,
325,100,355,53,385,226,415,123,445,427,475,108,505,25,535,227,565,41,,,,
326,163,356,121,386,140,416,55,446,269,476,380,506,230,536,55,566,46,,,,
327,126,357,331,387,340,417,429,447,85,477,60,507,607,537,220,567,334,,,,
328,283,358,214,388,60,418,159,448,29,478,41,508,91,538,44,568,105,,,,
329,55,359,74,389,413,419,584,449,155,479,103,509,199,539,188,569,116,,,,
330,194,360,512,390,75,420,255,450,92,480,127,510,126,540,251,570,75,,,,
