0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,18,31,74,61,145,91,121,121,115,151,201,181,374,211,142
2,106,32,144,62,180,92,188,122,122,152,145,182,530,212,92
3,185,33,180,63,86,93,522,123,196,153,147,183,54,213,130
4,133,34,75,64,272,94,359,124,600,154,55,184,101,214,127
5,346,35,84,65,628,95,47,125,471,155,280,185,300,215,84
6,164,36,121,66,60,96,211,126,118,156,155,186,337,216,515
7,105,37,127,67,300,97,65,127,70,157,161,187,531,217,205
8,273,38,92,68,332,98,190,128,183,158,434,188,108,218,392
9,166,39,116,69,332,99,623,129,21,159,94,189,168,219,174
10,48,40,144,70,253,100,511,130,144,160,147,190,589,220,76
11,86,41,78,71,96,101,405,131,95,161,90,191,286,221,175
12,108,42,9,72,76,102,446,132,601,162,75,192,287,222,193
13,122,43,244,73,128,103,208,133,202,163,120,193,255,223,161
14,106,44,60,74,33,104,515,134,51,164,155,194,110,224,296
15,63,45,111,75,80,105,67,135,37,165,122,195,129,225,310
16,98,46,96,76,50,106,578,136,243,166,147,196,141,226,138
17,518,47,145,77,86,107,70,137,496,167,364,197,51,227,169
18,186,48,81,78,214,108,14,138,310,168,40,198,202,228,126
19,506,49,249,79,305,109,163,139,159,169,200,199,440,229,163
20,98,50,62,80,104,110,105,140,166,170,121,200,154,230,49
21,21,51,485,81,63,111,183,141,121,171,362,201,136,231,387
22,196,52,605,82,222,112,105,142,573,172,239,202,85,232,121
23,568,53,206,83,47,113,41,143,331,173,104,203,190,233,179
24,330,54,362,84,93,114,221,144,374,174,159,204,100,234,120
25,42,55,46,85,608,115,172,145,115,175,295,205,70,,
26,130,56,356,86,174,116,125,146,404,176,100,206,206,,
27,100,57,172,87,132,117,551,147,253,177,165,207,235,,
28,166,58,181,88,182,118,172,148,175,178,378,208,294,,
29,241,59,88,89,146,119,205,149,219,179,139,209,247,,
30,206,60,630,90,269,120,43,150,110,180,242,210,248,,
