0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,636,31,206,61,81,91,226,121,65,151,501,181,57
2,374,32,236,62,91,92,248,122,140,152,36,182,93
3,83,33,146,63,49,93,59,123,175,153,279,183,158
4,36,34,139,64,217,94,74,124,80,154,445,184,72
5,303,35,70,65,88,95,73,125,102,155,167,185,154
6,21,36,252,66,217,96,152,126,85,156,135,186,331
7,346,37,246,67,156,97,180,127,31,157,162,187,23
8,220,38,202,68,235,98,96,128,133,158,509,188,36
9,183,39,135,69,507,99,90,129,235,159,191,,
10,85,40,236,70,207,100,560,130,175,160,63,,
11,448,41,76,71,44,101,453,131,144,161,342,,
12,71,42,99,72,125,102,169,132,133,162,108,,
13,443,43,27,73,395,103,155,133,136,163,118,,
14,351,44,90,74,190,104,105,134,94,164,79,,
15,527,45,169,75,10,105,592,135,147,165,130,,
16,84,46,85,76,40,106,76,136,67,166,82,,
17,435,47,115,77,496,107,-12,137,241,167,160,,
18,65,48,42,78,500,108,64,138,426,168,54,,
19,92,49,294,79,414,109,122,139,47,169,201,,
20,602,50,183,80,18,110,200,140,47,170,165,,
21,45,51,89,81,665,111,268,141,170,171,110,,
22,189,52,52,82,65,112,101,142,101,172,198,,
23,69,53,90,83,86,113,173,143,354,173,382,,
24,409,54,125,84,15,114,197,144,224,174,299,,
25,130,55,640,85,85,115,63,145,51,175,394,,
26,16,56,27,86,43,116,454,146,216,176,280,,
27,116,57,357,87,140,117,370,147,81,177,110,,
28,106,58,73,88,474,118,48,148,5,178,87,,
29,143,59,567,89,193,119,389,149,162,179,627,,
30,210,60,484,90,173,120,155,150,189,180,29,,
