0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,
1,700,31,284,61,360,91,156,121,389,151,41,181,438,211,60,241,160,271,151,
2,393,32,455,62,493,92,196,122,264,152,126,182,127,212,113,242,48,272,308,
3,137,33,106,63,52,93,345,123,185,153,141,183,147,213,89,243,449,273,44,
4,434,34,293,64,42,94,261,124,52,154,166,184,414,214,91,244,102,274,11,
5,198,35,178,65,73,95,95,125,417,155,80,185,65,215,87,245,151,275,86,
6,100,36,173,66,194,96,86,126,267,156,519,186,92,216,96,246,40,276,546,
7,267,37,155,67,13,97,72,127,340,157,83,187,41,217,92,247,379,277,63,
8,177,38,476,68,41,98,60,128,471,158,23,188,109,218,205,248,232,278,85,
9,464,39,86,69,119,99,103,129,151,159,65,189,43,219,304,249,40,279,23,
10,326,40,345,70,166,100,344,130,321,160,423,190,582,220,217,250,236,280,225,
11,48,41,97,71,120,101,95,131,456,161,122,191,189,221,159,251,98,281,239,
12,83,42,71,72,112,102,364,132,65,162,39,192,307,222,75,252,258,282,145,
13,85,43,372,73,235,103,543,133,-10,163,189,193,137,223,134,253,183,283,155,
14,285,44,54,74,132,104,250,134,102,164,95,194,200,224,436,254,62,284,54,
15,51,45,227,75,150,105,89,135,61,165,35,195,101,225,302,255,274,285,91,
16,117,46,575,76,162,106,512,136,213,166,310,196,166,226,106,256,129,286,286,
17,432,47,284,77,107,107,81,137,204,167,624,197,125,227,381,257,187,287,106,
18,473,48,486,78,75,108,139,138,371,168,250,198,134,228,115,258,96,288,154,
19,70,49,410,79,69,109,110,139,429,169,315,199,86,229,373,259,67,289,515,
20,398,50,115,80,75,110,140,140,416,170,268,200,476,230,452,260,63,290,95,
21,97,51,49,81,22,111,544,141,7,171,75,201,42,231,240,261,115,291,130,
22,291,52,266,82,560,112,169,142,331,172,216,202,201,232,468,262,330,292,125,
23,143,53,575,83,323,113,55,143,428,173,686,203,55,233,118,263,155,293,402,
24,411,54,543,84,406,114,152,144,118,174,22,204,233,234,190,264,300,294,160,
25,86,55,162,85,321,115,193,145,466,175,60,205,43,235,184,265,64,295,313,
26,53,56,165,86,382,116,122,146,188,176,110,206,105,236,78,266,91,296,94,
27,628,57,269,87,340,117,295,147,27,177,89,207,156,237,271,267,28,297,115,
28,190,58,644,88,199,118,53,148,75,178,314,208,103,238,557,268,148,298,56,
29,213,59,105,89,63,119,118,149,260,179,43,209,46,239,188,269,429,299,112,
30,477,60,80,90,519,120,463,150,644,180,389,210,466,240,382,270,9,300,400,
Centre:,140301,DON,BOSCO,"SCHOOL,","RAMNAGAR,","TARAPUR,",KHELMA,SHANKAR,"BASTI,","SILCHAR,","CACHAR,","ASSAM,","SILCHAR,",ASSAM,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,
301,113,331,119,361,87,391,130,421,307,451,399,481,91,511,339,541,108,,,
302,218,332,28,362,122,392,116,422,114,452,406,482,114,512,531,542,562,,,
303,75,333,49,363,140,393,80,423,220,453,79,483,416,513,265,543,105,,,
304,56,334,101,364,191,394,80,424,123,454,231,484,49,514,93,544,481,,,
305,246,335,121,365,100,395,10,425,88,455,419,485,136,515,94,545,626,,,
306,379,336,19,366,54,396,700,426,185,456,97,486,70,516,444,546,132,,,
307,163,337,162,367,52,397,132,427,588,457,83,487,0,517,128,547,347,,,
308,266,338,38,368,134,398,50,428,593,458,430,488,415,518,394,548,102,,,
309,85,339,151,369,268,399,138,429,539,459,194,489,170,519,156,549,111,,,
310,161,340,77,370,72,400,200,430,580,460,129,490,238,520,253,550,75,,,
311,31,341,104,371,366,401,311,431,104,461,206,491,183,521,137,551,92,,,
312,571,342,172,372,64,402,134,432,98,462,218,492,480,522,0,552,430,,,
313,163,343,88,373,21,403,49,433,85,463,650,493,398,523,117,553,549,,,
314,68,344,136,374,451,404,599,434,69,464,101,494,51,524,58,554,136,,,
315,230,345,38,375,67,405,141,435,322,465,182,495,79,525,158,555,68,,,
316,372,346,102,376,680,406,292,436,90,466,340,496,101,526,140,556,193,,,
317,488,347,347,377,43,407,105,437,101,467,101,497,74,527,217,557,588,,,
318,283,348,122,378,277,408,174,438,228,468,296,498,115,528,436,558,117,,,
319,300,349,167,379,133,409,134,439,106,469,105,499,284,529,39,559,238,,,
320,105,350,272,380,330,410,346,440,21,470,398,500,106,530,103,560,294,,,
321,411,351,496,381,319,411,671,441,144,471,354,501,114,531,250,561,76,,,
322,233,352,529,382,598,412,117,442,58,472,244,502,60,532,574,562,163,,,
323,79,353,370,383,169,413,227,443,382,473,573,503,618,533,420,563,575,,,
324,564,354,387,384,270,414,320,444,549,474,450,504,173,534,22,564,298,,,
325,78,355,177,385,45,415,160,445,410,475,222,505,117,535,35,565,397,,,
326,466,356,93,386,78,416,112,446,154,476,128,506,94,536,95,566,46,,,
327,118,357,53,387,106,417,475,447,482,477,238,507,186,537,519,567,62,,,
328,113,358,193,388,477,418,615,448,243,478,53,508,284,538,177,568,210,,,
329,187,359,120,389,63,419,59,449,54,479,251,509,112,539,70,569,142,,,
330,139,360,234,390,452,420,97,450,330,480,144,510,490,540,45,,,,,
