0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,37,31,116,61,180,91,278,121,37,151,250,181,217
2,207,32,157,62,242,92,90,122,224,152,494,182,43
3,195,33,100,63,261,93,144,123,99,153,89,183,114
4,204,34,60,64,21,94,75,124,133,154,45,184,297
5,164,35,125,65,85,95,302,125,396,155,163,185,483
6,393,36,429,66,18,96,160,126,62,156,290,186,569
7,114,37,232,67,279,97,120,127,115,157,76,,
8,143,38,63,68,151,98,422,128,141,158,190,,
9,668,39,86,69,195,99,55,129,103,159,348,,
10,274,40,125,70,685,100,191,130,133,160,630,,
11,120,41,76,71,230,101,158,131,56,161,185,,
12,307,42,353,72,112,102,153,132,111,162,40,,
13,8,43,50,73,233,103,69,133,92,163,76,,
14,245,44,90,74,40,104,519,134,30,164,341,,
15,153,45,325,75,365,105,110,135,72,165,145,,
16,367,46,183,76,176,106,196,136,398,166,49,,
17,217,47,255,77,440,107,150,137,19,167,92,,
18,550,48,131,78,339,108,60,138,151,168,269,,
19,267,49,144,79,687,109,575,139,210,169,147,,
20,487,50,218,80,447,110,371,140,624,170,113,,
21,441,51,250,81,15,111,62,141,350,171,168,,
22,257,52,120,82,45,112,398,142,110,172,340,,
23,483,53,250,83,292,113,101,143,170,173,96,,
24,15,54,75,84,252,114,202,144,104,174,314,,
25,49,55,419,85,418,115,222,145,414,175,43,,
26,563,56,105,86,150,116,73,146,81,176,121,,
27,46,57,385,87,468,117,155,147,213,177,39,,
28,51,58,106,88,152,118,567,148,55,178,98,,
29,474,59,253,89,394,119,218,149,100,179,165,,
30,125,60,65,90,119,120,102,150,96,180,194,,
