0,1,2,3,4,5,6,7,8,9
PRADESH,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,82,31,26,61,32,91,20,121,68
2,59,32,91,62,66,92,159,122,57
3,121,33,13,63,69,93,85,123,59
4,79,34,99,64,82,94,55,124,33
5,201,35,77,65,41,95,80,125,72
6,157,36,51,66,326,96,75,126,90
7,12,37,168,67,4,97,45,127,169
8,96,38,81,68,34,98,1,128,81
9,133,39,127,69,41,99,90,129,105
10,50,40,37,70,85,100,-15,130,79
11,253,41,126,71,117,101,273,131,157
12,38,42,173,72,76,102,149,132,7
13,-3,43,46,73,51,103,141,133,73
14,64,44,40,74,74,104,93,134,178
15,80,45,294,75,60,105,3,135,104
16,105,46,22,76,167,106,182,136,72
17,93,47,164,77,113,107,92,137,15
18,61,48,64,78,51,108,55,138,145
19,58,49,40,79,64,109,75,,
20,25,50,60,80,50,110,79,,
21,95,51,73,81,53,111,75,,
22,55,52,66,82,126,112,90,,
23,61,53,330,83,237,113,32,,
24,95,54,53,84,246,114,8,,
25,101,55,20,85,60,115,45,,
26,130,56,120,86,285,116,83,,
27,53,57,67,87,131,117,166,,
28,48,58,25,88,101,118,96,,
29,138,59,74,89,591,119,80,,
30,30,60,42,90,45,120,108,,
