0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,52,31,660,61,51,91,136
2,107,32,68,62,116,92,30
3,56,33,169,63,227,93,75
4,132,34,57,64,122,94,127
5,180,35,5,65,90,95,26
6,107,36,115,66,100,96,137
7,141,37,92,67,70,97,175
8,55,38,133,68,154,98,157
9,151,39,50,69,105,99,177
10,62,40,200,70,363,100,45
11,10,41,82,71,174,101,84
12,75,42,62,72,340,102,195
13,157,43,106,73,132,103,307
14,42,44,124,74,95,104,246
15,10,45,106,75,208,105,40
16,395,46,158,76,188,106,304
17,38,47,259,77,76,107,219
18,30,48,139,78,238,108,333
19,60,49,77,79,50,109,172
20,182,50,132,80,84,110,101
21,100,51,30,81,43,111,482
22,496,52,152,82,76,,
23,-21,53,43,83,81,,
24,130,54,198,84,127,,
25,21,55,5,85,152,,
26,57,56,475,86,112,,
27,105,57,20,87,130,,
28,188,58,140,88,85,,
29,168,59,150,89,35,,
30,319,60,188,90,245,,
