0,1,2,3,4,5,6,7,8,9,10,11
"PARGANAS,",WEST,BENGAL,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,49,31,23,61,-15,91,17,121,216,151,64
2,100,32,157,62,448,92,45,122,84,152,73
3,348,33,204,63,321,93,159,123,141,153,502
4,51,34,168,64,272,94,375,124,75,154,104
5,338,35,525,65,132,95,92,125,48,155,287
6,180,36,25,66,52,96,75,126,190,156,304
7,111,37,173,67,72,97,445,127,407,157,360
8,120,38,228,68,70,98,343,128,518,158,194
9,186,39,139,69,355,99,571,129,110,159,92
10,22,40,247,70,91,100,52,130,116,160,86
11,385,41,117,71,36,101,100,131,67,161,188
12,323,42,290,72,51,102,28,132,453,162,80
13,602,43,100,73,70,103,317,133,153,,
14,58,44,5,74,21,104,538,134,160,,
15,317,45,102,75,173,105,35,135,70,,
16,123,46,71,76,482,106,145,136,183,,
17,58,47,31,77,184,107,84,137,527,,
18,330,48,214,78,57,108,462,138,269,,
19,86,49,107,79,95,109,97,139,74,,
20,13,50,348,80,25,110,36,140,19,,
21,61,51,75,81,37,111,587,141,439,,
22,96,52,145,82,33,112,512,142,61,,
23,530,53,43,83,81,113,350,143,24,,
24,483,54,205,84,234,114,61,144,55,,
25,151,55,113,85,39,115,71,145,76,,
26,93,56,595,86,88,116,308,146,220,,
27,81,57,14,87,114,117,3,147,100,,
28,398,58,216,88,66,118,187,148,60,,
29,347,59,606,89,39,119,146,149,83,,
30,55,60,118,90,170,120,102,150,160,,
