0,1,2,3,4,5,6,7,8,9
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,35,31,38,61,347,91,226,121,73
2,102,32,36,62,90,92,97,122,432
3,110,33,202,63,454,93,72,,
4,106,34,16,64,87,94,47,,
5,129,35,50,65,8,95,87,,
6,185,36,104,66,47,96,214,,
7,22,37,140,67,246,97,123,,
8,33,38,51,68,103,98,485,,
9,356,39,237,69,145,99,42,,
10,301,40,290,70,116,100,101,,
11,71,41,87,71,45,101,110,,
12,72,42,476,72,172,102,377,,
13,159,43,-4,73,238,103,300,,
14,340,44,31,74,345,104,71,,
15,40,45,92,75,65,105,396,,
16,70,46,0,76,539,106,69,,
17,227,47,436,77,90,107,231,,
18,115,48,34,78,78,108,49,,
19,-2,49,157,79,491,109,30,,
20,572,50,138,80,193,110,218,,
21,158,51,31,81,142,111,48,,
22,87,52,462,82,79,112,69,,
23,265,53,101,83,324,113,41,,
24,263,54,90,84,99,114,123,,
25,485,55,214,85,173,115,55,,
26,257,56,35,86,115,116,128,,
27,105,57,83,87,148,117,200,,
28,60,58,284,88,94,118,373,,
29,134,59,88,89,112,119,102,,
30,197,60,369,90,292,120,64,,
