0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,203,31,132,61,53,91,245,121,253,151,188,181,77
2,494,32,137,62,446,92,409,122,72,152,211,182,81
3,622,33,178,63,343,93,42,123,237,153,314,183,87
4,194,34,101,64,464,94,221,124,161,154,201,184,243
5,471,35,46,65,324,95,203,125,162,155,563,185,84
6,147,36,123,66,301,96,75,126,129,156,188,186,55
7,195,37,479,67,100,97,119,127,202,157,447,187,147
8,114,38,229,68,405,98,170,128,164,158,135,188,55
9,202,39,349,69,262,99,224,129,80,159,30,189,83
10,105,40,170,70,97,100,146,130,222,160,206,190,148
11,35,41,156,71,242,101,288,131,416,161,183,191,85
12,108,42,47,72,615,102,131,132,262,162,69,192,200
13,124,43,165,73,414,103,150,133,40,163,298,193,189
14,102,44,135,74,163,104,522,134,55,164,228,194,221
15,285,45,117,75,493,105,130,135,112,165,186,195,160
16,210,46,153,76,330,106,127,136,631,166,202,196,117
17,65,47,608,77,621,107,585,137,97,167,125,197,131
18,155,48,61,78,225,108,121,138,219,168,100,198,505
19,508,49,98,79,188,109,185,139,180,169,311,199,128
20,92,50,138,80,181,110,398,140,110,170,169,200,200
21,452,51,221,81,428,111,218,141,225,171,93,,
22,223,52,90,82,90,112,538,142,117,172,353,,
23,141,53,99,83,297,113,150,143,652,173,295,,
24,134,54,37,84,376,114,490,144,98,174,130,,
25,446,55,193,85,217,115,70,145,187,175,78,,
26,138,56,164,86,217,116,114,146,182,176,192,,
27,462,57,166,87,154,117,300,147,48,177,100,,
28,488,58,170,88,60,118,489,148,195,178,609,,
29,119,59,125,89,691,119,308,149,68,179,312,,
30,286,60,214,90,197,120,338,150,35,180,307,,
