0,1,2,3,4,5,6,7,8,9
KARNATAKA,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,300,31,78,61,60,91,209,121,123
2,144,32,138,62,234,92,141,122,284
3,160,33,142,63,224,93,281,123,354
4,207,34,21,64,57,94,75,124,134
5,73,35,131,65,572,95,217,125,225
6,287,36,323,66,440,96,207,126,39
7,206,37,213,67,71,97,125,127,170
8,110,38,309,68,113,98,147,128,107
9,209,39,112,69,210,99,282,129,455
10,375,40,379,70,89,100,177,130,222
11,149,41,139,71,181,101,685,131,234
12,225,42,160,72,158,102,91,132,130
13,70,43,436,73,546,103,105,133,162
14,120,44,200,74,230,104,40,134,72
15,66,45,556,75,202,105,311,135,332
16,403,46,67,76,159,106,115,136,89
17,180,47,295,77,190,107,509,137,125
18,409,48,36,78,80,108,193,138,241
19,350,49,111,79,367,109,559,139,123
20,136,50,270,80,49,110,45,140,80
21,199,51,222,81,80,111,50,141,70
22,105,52,95,82,175,112,70,142,149
23,77,53,81,83,282,113,177,143,241
24,247,54,56,84,371,114,135,144,144
25,385,55,304,85,530,115,265,145,30
26,250,56,58,86,177,116,34,146,240
27,152,57,175,87,154,117,267,147,93
28,328,58,153,88,181,118,127,148,107
29,105,59,85,89,194,119,142,,
30,224,60,195,90,400,120,106,,
