0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,348,31,474,61,317,91,94,121,330,151,306
2,184,32,575,62,233,92,395,122,150,152,134
3,138,33,236,63,155,93,186,123,160,153,97
4,180,34,159,64,215,94,240,124,79,154,148
5,166,35,304,65,537,95,247,125,135,155,17
6,248,36,324,66,558,96,406,126,382,156,111
7,71,37,320,67,200,97,535,127,110,157,293
8,117,38,368,68,382,98,119,128,45,158,121
9,90,39,285,69,496,99,233,129,128,159,390
10,335,40,438,70,187,100,240,130,215,160,103
11,90,41,530,71,177,101,418,131,338,161,270
12,226,42,170,72,378,102,419,132,23,162,221
13,602,43,301,73,107,103,288,133,635,163,77
14,415,44,297,74,291,104,527,134,147,164,355
15,86,45,290,75,187,105,121,135,637,165,285
16,130,46,70,76,69,106,372,136,239,166,343
17,139,47,143,77,95,107,29,137,186,167,554
18,153,48,109,78,32,108,313,138,184,168,425
19,455,49,197,79,335,109,155,139,485,169,418
20,310,50,561,80,29,110,125,140,236,170,213
21,171,51,185,81,80,111,169,141,70,171,180
22,116,52,392,82,212,112,170,142,263,172,205
23,397,53,440,83,313,113,575,143,121,173,402
24,205,54,506,84,94,114,363,144,561,174,54
25,243,55,287,85,542,115,326,145,235,175,162
26,105,56,563,86,162,116,229,146,375,176,94
27,65,57,162,87,268,117,190,147,139,,
28,134,58,380,88,98,118,498,148,160,,
29,331,59,385,89,63,119,425,149,148,,
30,197,60,469,90,375,120,529,150,129,,
