0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,81,31,100,61,92,91,44,121,170,151,18,181,307
2,459,32,113,62,216,92,473,122,71,152,33,182,535
3,184,33,28,63,99,93,75,123,150,153,76,183,125
4,175,34,68,64,63,94,400,124,75,154,289,184,527
5,123,35,569,65,165,95,414,125,46,155,52,185,90
6,548,36,219,66,288,96,548,126,392,156,182,186,388
7,411,37,155,67,212,97,174,127,169,157,269,187,352
8,246,38,257,68,324,98,196,128,147,158,156,188,411
9,92,39,112,69,71,99,89,129,275,159,401,189,150
10,240,40,83,70,273,100,65,130,42,160,115,190,32
11,124,41,27,71,409,101,58,131,70,161,185,,
12,404,42,125,72,101,102,229,132,260,162,275,,
13,141,43,234,73,89,103,90,133,420,163,265,,
14,50,44,82,74,401,104,355,134,40,164,13,,
15,492,45,152,75,175,105,289,135,85,165,176,,
16,277,46,91,76,49,106,129,136,211,166,137,,
17,91,47,157,77,98,107,92,137,119,167,539,,
18,35,48,135,78,176,108,88,138,33,168,358,,
19,124,49,451,79,65,109,255,139,-6,169,112,,
20,42,50,211,80,65,110,137,140,178,170,242,,
21,138,51,168,81,123,111,46,141,111,171,32,,
22,152,52,120,82,446,112,100,142,40,172,126,,
23,423,53,51,83,360,113,208,143,105,173,155,,
24,282,54,132,84,76,114,53,144,212,174,240,,
25,120,55,85,85,29,115,179,145,31,175,210,,
26,58,56,507,86,226,116,112,146,206,176,86,,
27,117,57,258,87,100,117,151,147,196,177,105,,
28,100,58,384,88,150,118,158,148,66,178,578,,
29,168,59,333,89,107,119,122,149,252,179,61,,
30,304,60,98,90,143,120,254,150,129,180,332,,
