0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
PATNA,"BIHAR,","PATNA,",BIHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,
1,525,31,472,61,82,91,169,121,145,151,111,181,57,211,169,241,676,271,546,,,,,,,,,,,,,
2,538,32,238,62,10,92,79,122,96,152,66,182,136,212,262,242,322,272,299,,,,,,,,,,,,,
3,456,33,211,63,156,93,126,123,305,153,487,183,48,213,73,243,122,273,627,,,,,,,,,,,,,
4,198,34,638,64,99,94,57,124,414,154,199,184,111,214,443,244,4,274,169,,,,,,,,,,,,,
5,160,35,160,65,95,95,22,125,304,155,145,185,304,215,584,245,234,275,177,,,,,,,,,,,,,
6,102,36,661,66,223,96,663,126,178,156,150,186,111,216,212,246,432,276,39,,,,,,,,,,,,,
7,29,37,153,67,45,97,619,127,237,157,132,187,108,217,106,247,42,277,60,,,,,,,,,,,,,
8,372,38,87,68,106,98,627,128,94,158,62,188,198,218,237,248,225,278,61,,,,,,,,,,,,,
9,36,39,85,69,293,99,70,129,132,159,151,189,117,219,587,249,610,279,73,,,,,,,,,,,,,
10,47,40,175,70,211,100,506,130,49,160,105,190,63,220,74,250,483,280,166,,,,,,,,,,,,,
11,657,41,343,71,50,101,500,131,125,161,664,191,42,221,125,251,101,281,15,,,,,,,,,,,,,
12,81,42,143,72,339,102,226,132,139,162,86,192,66,222,192,252,522,282,161,,,,,,,,,,,,,
13,569,43,224,73,42,103,163,133,102,163,76,193,173,223,184,253,363,283,129,,,,,,,,,,,,,
14,113,44,252,74,51,104,472,134,267,164,123,194,623,224,230,254,94,284,46,,,,,,,,,,,,,
15,72,45,311,75,220,105,219,135,483,165,67,195,248,225,86,255,421,285,149,,,,,,,,,,,,,
16,596,46,72,76,122,106,417,136,29,166,224,196,198,226,294,256,534,286,93,,,,,,,,,,,,,
17,125,47,582,77,267,107,173,137,251,167,138,197,90,227,153,257,274,287,496,,,,,,,,,,,,,
18,63,48,150,78,66,108,201,138,641,168,256,198,184,228,72,258,195,288,496,,,,,,,,,,,,,
19,66,49,415,79,331,109,615,139,50,169,356,199,290,229,146,259,64,289,256,,,,,,,,,,,,,
20,68,50,192,80,337,110,252,140,119,170,41,200,286,230,418,260,116,290,339,,,,,,,,,,,,,
21,234,51,301,81,220,111,405,141,194,171,430,201,125,231,54,261,122,291,283,,,,,,,,,,,,,
22,286,52,13,82,629,112,619,142,427,172,228,202,55,232,150,262,84,292,133,,,,,,,,,,,,,
23,150,53,569,83,139,113,342,143,281,173,45,203,130,233,83,263,682,293,312,,,,,,,,,,,,,
24,431,54,88,84,119,114,43,144,280,174,658,204,199,234,630,264,311,294,241,,,,,,,,,,,,,
25,196,55,70,85,78,115,510,145,137,175,67,205,307,235,171,265,153,295,354,,,,,,,,,,,,,
26,131,56,120,86,143,116,541,146,236,176,171,206,271,236,254,266,350,296,155,,,,,,,,,,,,,
27,156,57,427,87,21,117,82,147,283,177,52,207,643,237,35,267,45,297,49,,,,,,,,,,,,,
28,135,58,342,88,36,118,540,148,103,178,25,208,72,238,508,268,147,298,106,,,,,,,,,,,,,
29,266,59,85,89,71,119,550,149,41,179,409,209,172,239,43,269,65,299,590,,,,,,,,,,,,,
30,626,60,16,90,495,120,274,150,55,180,60,210,220,240,41,270,224,300,65,,,,,,,,,,,,,
Centre:,150218,SHIVAM,CONVENT,NEW,BYE,PASS,RD,K,BAGH,PATNA,"BR,",NEW,BYE,PASS,RD,K,BAGH,PATNA,BR,SHIVAM,CONVENT,NEW,BYE,PASS,ROAD,KANKARBAGH,NEET,(UG),2024,Page,No.,2
PATNA,"BIHAR,","PATNA,",BIHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,
301,111,331,125,361,-1,391,145,421,8,451,218,481,582,511,81,541,95,571,64,,,,,,,,,,,,,
302,548,332,367,362,263,392,86,422,329,452,34,482,123,512,387,542,53,572,633,,,,,,,,,,,,,
303,102,333,167,363,241,393,207,423,119,453,308,483,319,513,504,543,185,573,302,,,,,,,,,,,,,
304,54,334,246,364,100,394,185,424,245,454,217,484,126,514,123,544,168,574,157,,,,,,,,,,,,,
305,287,335,483,365,283,395,107,425,70,455,87,485,247,515,235,545,268,575,41,,,,,,,,,,,,,
306,205,336,76,366,84,396,202,426,97,456,247,486,686,516,89,546,33,576,625,,,,,,,,,,,,,
307,586,337,143,367,-9,397,211,427,423,457,405,487,313,517,85,547,52,577,320,,,,,,,,,,,,,
308,99,338,311,368,25,398,95,428,145,458,74,488,81,518,319,548,223,578,183,,,,,,,,,,,,,
309,167,339,275,369,93,399,39,429,64,459,-27,489,120,519,456,549,335,579,610,,,,,,,,,,,,,
310,290,340,115,370,155,400,494,430,103,460,247,490,114,520,225,550,228,580,200,,,,,,,,,,,,,
311,5,341,30,371,140,401,91,431,341,461,93,491,200,521,53,551,321,581,54,,,,,,,,,,,,,
312,369,342,306,372,619,402,313,432,65,462,142,492,266,522,131,552,424,582,260,,,,,,,,,,,,,
313,247,343,24,373,29,403,360,433,117,463,95,493,466,523,195,553,87,583,15,,,,,,,,,,,,,
314,208,344,224,374,133,404,355,434,1,464,415,494,208,524,107,554,151,584,244,,,,,,,,,,,,,
315,641,345,120,375,342,405,154,435,189,465,199,495,386,525,123,555,510,585,115,,,,,,,,,,,,,
316,236,346,158,376,93,406,63,436,369,466,435,496,77,526,366,556,135,586,105,,,,,,,,,,,,,
317,204,347,172,377,124,407,89,437,45,467,88,497,276,527,172,557,335,587,298,,,,,,,,,,,,,
