0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,365,31,615,61,122,91,451,121,15,151,385
2,251,32,131,62,469,92,101,122,248,152,184
3,154,33,95,63,48,93,151,123,638,153,226
4,72,34,54,64,679,94,333,124,154,154,464
5,120,35,445,65,50,95,146,125,246,155,130
6,535,36,294,66,666,96,63,126,285,156,539
7,180,37,133,67,476,97,85,127,248,157,369
8,220,38,80,68,189,98,328,128,127,158,217
9,187,39,261,69,144,99,110,129,317,159,96
10,102,40,91,70,84,100,603,130,107,160,320
11,109,41,75,71,317,101,410,131,155,161,124
12,382,42,161,72,115,102,55,132,150,162,244
13,30,43,115,73,122,103,153,133,218,163,352
14,164,44,23,74,87,104,94,134,173,164,216
15,605,45,167,75,282,105,125,135,173,165,46
16,314,46,413,76,268,106,180,136,310,166,506
17,59,47,0,77,167,107,493,137,201,167,144
18,496,48,70,78,61,108,335,138,50,168,406
19,90,49,401,79,277,109,120,139,136,169,143
20,71,50,308,80,476,110,162,140,590,170,80
21,158,51,125,81,434,111,250,141,333,171,372
22,182,52,160,82,533,112,76,142,102,172,127
23,101,53,409,83,226,113,273,143,330,173,455
24,583,54,541,84,328,114,114,144,665,174,157
25,411,55,470,85,91,115,379,145,311,175,195
26,510,56,130,86,125,116,602,146,175,,
27,162,57,181,87,190,117,142,147,225,,
28,112,58,254,88,265,118,269,148,-4,,
29,98,59,373,89,156,119,465,149,90,,
30,557,60,405,90,450,120,148,150,215,,
