0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,22,31,30,61,313,91,339,121,417,151,219,181,269
2,299,32,60,62,620,92,515,122,200,152,375,182,51
3,145,33,302,63,432,93,414,123,351,153,315,,
4,130,34,140,64,533,94,369,124,188,154,623,,
5,203,35,307,65,118,95,346,125,28,155,273,,
6,597,36,114,66,186,96,235,126,239,156,163,,
7,74,37,477,67,109,97,549,127,289,157,301,,
8,249,38,42,68,309,98,164,128,452,158,177,,
9,238,39,592,69,395,99,667,129,521,159,274,,
10,309,40,239,70,58,100,159,130,372,160,62,,
11,371,41,117,71,92,101,220,131,515,161,455,,
12,366,42,508,72,43,102,344,132,45,162,-3,,
13,221,43,133,73,526,103,80,133,100,163,172,,
14,305,44,93,74,89,104,133,134,295,164,297,,
15,465,45,11,75,306,105,208,135,350,165,154,,
16,161,46,69,76,291,106,130,136,63,166,415,,
17,128,47,94,77,75,107,430,137,97,167,142,,
18,45,48,208,78,64,108,442,138,96,168,46,,
19,167,49,86,79,219,109,93,139,476,169,369,,
20,369,50,374,80,412,110,79,140,64,170,516,,
21,397,51,405,81,600,111,336,141,119,171,505,,
22,133,52,212,82,366,112,97,142,121,172,480,,
23,142,53,77,83,474,113,153,143,90,173,450,,
24,240,54,67,84,475,114,112,144,440,174,263,,
25,172,55,483,85,209,115,200,145,36,175,57,,
26,55,56,25,86,168,116,391,146,77,176,379,,
27,528,57,636,87,468,117,370,147,465,177,271,,
28,52,58,74,88,209,118,79,148,295,178,35,,
29,60,59,225,89,398,119,456,149,537,179,93,,
30,172,60,158,90,580,120,29,150,675,180,265,,
