0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,146,31,64,61,67,91,203,121,340,151,155,181,91,211,140,241,164
2,30,32,395,62,480,92,528,122,348,152,416,182,56,212,279,242,625
3,87,33,251,63,387,93,131,123,125,153,44,183,120,213,319,243,152
4,163,34,135,64,107,94,15,124,66,154,93,184,206,214,174,244,290
5,176,35,69,65,363,95,600,125,239,155,191,185,71,215,189,245,513
6,50,36,198,66,133,96,35,126,180,156,49,186,30,216,48,246,84
7,79,37,222,67,295,97,296,127,258,157,516,187,320,217,64,247,644
8,140,38,123,68,86,98,368,128,327,158,91,188,166,218,464,248,222
9,111,39,345,69,14,99,85,129,23,159,223,189,165,219,279,249,501
10,298,40,467,70,472,100,68,130,422,160,60,190,100,220,247,250,497
11,282,41,31,71,170,101,665,131,201,161,265,191,317,221,609,251,163
12,87,42,490,72,281,102,63,132,44,162,661,192,171,222,58,252,29
13,125,43,275,73,419,103,387,133,-6,163,255,193,348,223,149,253,211
14,114,44,227,74,278,104,242,134,212,164,299,194,218,224,160,254,115
15,95,45,235,75,150,105,276,135,466,165,136,195,159,225,215,,
16,126,46,240,76,79,106,273,136,219,166,127,196,347,226,223,,
17,556,47,393,77,71,107,214,137,91,167,246,197,237,227,159,,
18,259,48,111,78,34,108,155,138,330,168,2,198,683,228,134,,
19,253,49,314,79,405,109,289,139,88,169,690,199,102,229,80,,
20,90,50,598,80,307,110,111,140,119,170,68,200,116,230,483,,
21,-9,51,66,81,482,111,83,141,229,171,75,201,209,231,256,,
22,520,52,171,82,276,112,173,142,284,172,705,202,63,232,402,,
23,143,53,365,83,426,113,663,143,33,173,82,203,309,233,240,,
24,220,54,82,84,190,114,328,144,275,174,90,204,285,234,264,,
25,84,55,207,85,230,115,88,145,183,175,497,205,136,235,139,,
26,381,56,86,86,64,116,409,146,105,176,439,206,447,236,299,,
27,41,57,333,87,64,117,244,147,181,177,146,207,409,237,187,,
28,54,58,148,88,69,118,178,148,193,178,164,208,248,238,51,,
29,298,59,219,89,551,119,425,149,74,179,344,209,94,239,11,,
30,582,60,398,90,101,120,528,150,14,180,76,210,321,240,111,,
