0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,312,31,110,61,60,91,65
2,345,32,419,62,111,92,60
3,42,33,38,63,223,93,127
4,444,34,413,64,208,94,3
5,30,35,63,65,102,95,212
6,76,36,24,66,120,96,481
7,377,37,128,67,60,97,363
8,247,38,165,68,15,98,351
9,75,39,129,69,396,99,55
10,318,40,41,70,55,100,303
11,261,41,101,71,193,101,20
12,75,42,75,72,43,102,85
13,29,43,63,73,36,103,94
14,70,44,301,74,67,104,127
15,50,45,144,75,135,105,91
16,33,46,245,76,443,106,91
17,323,47,225,77,79,107,422
18,50,48,83,78,342,108,6
19,53,49,148,79,125,109,20
20,79,50,130,80,30,110,267
21,70,51,68,81,23,111,-24
22,67,52,237,82,46,112,31
23,95,53,74,83,187,113,36
24,150,54,80,84,62,114,60
25,146,55,267,85,155,115,165
26,41,56,105,86,51,116,363
27,180,57,293,87,65,117,209
28,342,58,20,88,39,118,125
29,75,59,240,89,404,,
30,36,60,37,90,49,,
