0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,
1,114,31,120,61,58,91,50,121,137,151,522,181,82,211,55,241,220,271,28,,,,,,,,,
2,84,32,109,62,365,92,93,122,124,152,416,182,67,212,279,242,303,272,30,,,,,,,,,
3,96,33,80,63,482,93,161,123,97,153,70,183,155,213,90,243,99,273,129,,,,,,,,,
4,140,34,15,64,53,94,35,124,125,154,190,184,261,214,79,244,145,274,55,,,,,,,,,
5,136,35,91,65,455,95,309,125,121,155,223,185,140,215,275,245,45,275,190,,,,,,,,,
6,218,36,341,66,163,96,48,126,165,156,340,186,133,216,95,246,82,276,262,,,,,,,,,
7,90,37,40,67,80,97,110,127,118,157,102,187,138,217,333,247,118,277,67,,,,,,,,,
8,142,38,179,68,66,98,234,128,126,158,472,188,95,218,202,248,238,278,147,,,,,,,,,
9,140,39,224,69,254,99,104,129,353,159,67,189,29,219,110,249,300,279,316,,,,,,,,,
10,45,40,76,70,84,100,571,130,72,160,54,190,236,220,302,250,217,280,134,,,,,,,,,
11,187,41,352,71,347,101,482,131,69,161,112,191,40,221,448,251,184,281,143,,,,,,,,,
12,62,42,59,72,27,102,79,132,130,162,120,192,231,222,98,252,77,282,151,,,,,,,,,
13,224,43,502,73,273,103,586,133,195,163,26,193,217,223,93,253,193,283,26,,,,,,,,,
14,230,44,119,74,608,104,506,134,113,164,132,194,81,224,225,254,169,284,211,,,,,,,,,
15,130,45,39,75,103,105,640,135,503,165,150,195,425,225,154,255,189,285,587,,,,,,,,,
16,177,46,-10,76,95,106,648,136,155,166,70,196,281,226,438,256,192,286,132,,,,,,,,,
17,73,47,362,77,202,107,52,137,260,167,148,197,222,227,118,257,180,287,525,,,,,,,,,
18,486,48,200,78,133,108,20,138,72,168,236,198,33,228,110,258,348,288,573,,,,,,,,,
19,257,49,128,79,462,109,496,139,90,169,340,199,60,229,64,259,76,289,165,,,,,,,,,
20,471,50,101,80,65,110,90,140,35,170,367,200,57,230,131,260,85,290,67,,,,,,,,,
21,65,51,385,81,175,111,260,141,183,171,49,201,467,231,154,261,140,291,108,,,,,,,,,
22,143,52,512,82,68,112,89,142,144,172,508,202,55,232,31,262,75,292,102,,,,,,,,,
23,156,53,121,83,127,113,82,143,103,173,40,203,125,233,72,263,160,293,261,,,,,,,,,
24,100,54,120,84,445,114,95,144,455,174,105,204,209,234,445,264,41,294,115,,,,,,,,,
25,467,55,178,85,349,115,69,145,94,175,413,205,387,235,120,265,539,295,145,,,,,,,,,
26,110,56,336,86,99,116,135,146,619,176,481,206,170,236,95,266,52,296,219,,,,,,,,,
27,599,57,120,87,71,117,54,147,59,177,103,207,186,237,524,267,80,297,181,,,,,,,,,
28,48,58,364,88,408,118,439,148,98,178,369,208,569,238,75,268,395,298,33,,,,,,,,,
29,102,59,125,89,296,119,37,149,47,179,80,209,69,239,429,269,76,299,145,,,,,,,,,
30,126,60,203,90,96,120,589,150,32,180,208,210,108,240,51,270,119,300,90,,,,,,,,,
Centre:,411407,SHRISHTI,MATRIC.,HR.,SEC.,"SCHOOL,",KATPADI,-,RANIPET,ROAD,(NEAR,TO,VIT,),BRAMMAPURAM,VELLORE,-,632,"014.,","VELLORE,",TAMIL,NADU,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,
301,268,331,277,361,51,391,35,421,393,451,145,481,154,,,,,,,,,,,,,,,
302,386,332,567,362,538,392,91,422,32,452,124,482,230,,,,,,,,,,,,,,,
303,136,333,150,363,64,393,259,423,125,453,99,483,403,,,,,,,,,,,,,,,
304,79,334,381,364,473,394,406,424,47,454,235,484,78,,,,,,,,,,,,,,,
305,143,335,530,365,515,395,419,425,85,455,206,485,70,,,,,,,,,,,,,,,
306,47,336,548,366,240,396,304,426,84,456,460,486,76,,,,,,,,,,,,,,,
