0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
KALABURAGI,"KARNATAKA,","GULBARGA/KALABURGI,",KARNATAKA,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,251,31,168,61,446,91,35,121,392,151,100,181,329,211,300,241,155
2,136,32,359,62,61,92,103,122,306,152,120,182,84,212,85,242,102
3,249,33,60,63,64,93,150,123,46,153,443,183,54,213,72,243,103
4,84,34,88,64,265,94,111,124,264,154,101,184,173,214,119,244,500
5,186,35,310,65,60,95,230,125,172,155,670,185,85,215,106,245,86
6,401,36,91,66,76,96,238,126,351,156,207,186,240,216,107,246,31
7,146,37,520,67,287,97,173,127,191,157,457,187,141,217,108,247,26
8,492,38,417,68,29,98,167,128,496,158,186,188,167,218,538,248,115
9,71,39,152,69,5,99,90,129,165,159,112,189,52,219,449,249,88
10,169,40,150,70,337,100,193,130,71,160,34,190,124,220,17,250,40
11,45,41,212,71,170,101,149,131,241,161,62,191,259,221,69,251,280
12,45,42,19,72,117,102,155,132,268,162,-10,192,152,222,250,252,310
13,413,43,512,73,132,103,311,133,127,163,69,193,285,223,156,253,109
14,85,44,406,74,236,104,411,134,48,164,125,194,229,224,503,254,226
15,57,45,212,75,145,105,105,135,31,165,90,195,120,225,-1,255,290
16,244,46,557,76,35,106,298,136,152,166,90,196,264,226,73,256,200
17,48,47,110,77,346,107,290,137,130,167,190,197,152,227,435,257,40
18,240,48,53,78,129,108,63,138,105,168,187,198,54,228,241,,
19,71,49,304,79,417,109,141,139,57,169,160,199,296,229,180,,
20,186,50,111,80,255,110,483,140,174,170,77,200,228,230,206,,
21,55,51,177,81,45,111,518,141,278,171,294,201,166,231,96,,
22,231,52,398,82,107,112,46,142,419,172,119,202,212,232,559,,
23,363,53,154,83,201,113,229,143,179,173,85,203,196,233,136,,
24,385,54,606,84,366,114,113,144,414,174,493,204,435,234,372,,
25,84,55,46,85,514,115,136,145,145,175,73,205,82,235,225,,
26,447,56,187,86,73,116,145,146,530,176,71,206,327,236,119,,
27,69,57,106,87,84,117,95,147,263,177,70,207,97,237,76,,
28,85,58,322,88,418,118,680,148,145,178,145,208,40,238,89,,
29,64,59,175,89,65,119,309,149,20,179,70,209,325,239,100,,
30,479,60,435,90,343,120,70,150,165,180,242,210,43,240,198,,
