0,1,2,3,4,5,6,7
"MUMBAI,",MAHARASHTRA,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,464,31,364,61,224,91,20
2,380,32,35,62,36,92,186
3,142,33,340,63,40,93,500
4,184,34,170,64,452,94,61
5,122,35,15,65,88,95,77
6,144,36,76,66,233,96,635
7,55,37,574,67,283,97,512
8,212,38,359,68,27,98,260
9,359,39,175,69,386,99,593
10,160,40,53,70,517,100,333
11,132,41,397,71,88,101,643
12,76,42,258,72,30,102,31
13,352,43,409,73,35,103,35
14,145,44,45,74,105,104,74
15,100,45,60,75,297,105,45
16,70,46,560,76,117,106,125
17,250,47,52,77,642,107,101
18,65,48,70,78,175,108,229
19,75,49,531,79,448,109,29
20,576,50,55,80,14,,
21,502,51,330,81,25,,
22,40,52,55,82,518,,
23,27,53,424,83,641,,
24,180,54,510,84,45,,
25,105,55,129,85,90,,
26,20,56,152,86,30,,
27,654,57,654,87,150,,
28,135,58,377,88,78,,
29,206,59,300,89,31,,
30,128,60,61,90,68,,
