0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,
1,514,31,533,61,65,91,248,121,303,151,480,181,179,211,182,241,395,271,92,,
2,118,32,501,62,403,92,510,122,449,152,596,182,535,212,294,242,402,272,587,,
3,589,33,300,63,675,93,43,123,373,153,526,183,593,213,465,243,79,273,621,,
4,687,34,490,64,129,94,293,124,157,154,310,184,594,214,122,244,161,274,578,,
5,556,35,158,65,351,95,144,125,161,155,650,185,352,215,167,245,447,275,175,,
6,196,36,43,66,30,96,92,126,628,156,558,186,633,216,121,246,598,276,419,,
7,511,37,319,67,291,97,76,127,351,157,690,187,481,217,80,247,586,277,577,,
8,341,38,529,68,581,98,558,128,281,158,533,188,671,218,612,248,556,278,378,,
9,78,39,391,69,121,99,455,129,538,159,368,189,38,219,641,249,640,279,240,,
10,642,40,511,70,580,100,255,130,346,160,467,190,80,220,284,250,45,280,383,,
11,466,41,611,71,313,101,490,131,483,161,561,191,530,221,242,251,426,281,466,,
12,20,42,555,72,119,102,661,132,630,162,379,192,631,222,408,252,660,282,592,,
13,359,43,458,73,567,103,560,133,211,163,231,193,672,223,503,253,705,283,133,,
14,414,44,526,74,434,104,628,134,70,164,670,194,613,224,352,254,577,284,385,,
15,389,45,533,75,150,105,331,135,576,165,655,195,521,225,618,255,489,285,636,,
16,652,46,571,76,670,106,329,136,630,166,627,196,361,226,73,256,677,286,553,,
17,442,47,487,77,541,107,467,137,608,167,675,197,538,227,196,257,207,287,562,,
18,406,48,487,78,32,108,621,138,528,168,597,198,87,228,200,258,685,288,671,,
19,57,49,655,79,507,109,537,139,667,169,115,199,65,229,337,259,567,289,197,,
20,693,50,477,80,95,110,229,140,96,170,511,200,627,230,456,260,531,290,697,,
21,501,51,546,81,522,111,101,141,78,171,461,201,503,231,179,261,394,291,219,,
22,45,52,356,82,500,112,630,142,705,172,86,202,508,232,114,262,57,292,122,,
23,261,53,609,83,191,113,510,143,632,173,660,203,626,233,627,263,474,293,671,,
24,411,54,391,84,116,114,537,144,428,174,496,204,558,234,622,264,404,294,59,,
25,173,55,565,85,350,115,329,145,67,175,537,205,509,235,627,265,308,295,545,,
26,358,56,145,86,601,116,304,146,460,176,52,206,152,236,628,266,490,296,605,,
27,309,57,413,87,579,117,110,147,278,177,405,207,318,237,50,267,500,297,401,,
28,660,58,619,88,60,118,534,148,661,178,459,208,120,238,184,268,184,298,216,,
29,394,59,475,89,408,119,547,149,345,179,375,209,586,239,116,269,326,299,424,,
30,418,60,99,90,419,120,533,150,120,180,138,210,403,240,95,270,547,300,133,,
Centre:,410805,THE,SPECTRUM,"ACADEMY,",6/258,MULLAI,NAGAR,TRICHY,ROAD,NAMAKKAL,-,"637001,","NAMAKKAL,",TAMIL,NADU,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,
301,178,331,471,361,347,391,120,421,490,451,62,481,549,511,535,541,680,,,,
302,618,332,494,362,554,392,113,422,146,452,547,482,449,512,483,542,675,,,,
303,26,333,198,363,656,393,407,423,105,453,-25,483,255,513,134,543,359,,,,
304,85,334,566,364,534,394,433,424,470,454,46,484,518,514,629,544,184,,,,
305,58,335,636,365,64,395,399,425,190,455,256,485,317,515,626,545,557,,,,
306,141,336,165,366,326,396,461,426,595,456,695,486,252,516,169,546,389,,,,
307,553,337,563,367,666,397,511,427,157,457,100,487,456,517,523,547,315,,,,
308,626,338,511,368,672,398,321,428,87,458,207,488,357,518,550,548,113,,,,
309,458,339,533,369,154,399,273,429,392,459,267,489,483,519,148,549,56,,,,
310,94,340,150,370,453,400,61,430,670,460,408,490,429,520,566,550,415,,,,
311,568,341,586,371,345,401,294,431,621,461,225,491,625,521,240,551,524,,,,
312,65,342,631,372,140,402,440,432,650,462,636,492,370,522,241,552,272,,,,
313,326,343,468,373,280,403,174,433,623,463,185,493,466,523,227,553,289,,,,
314,600,344,633,374,197,404,486,434,533,464,223,494,215,524,503,554,56,,,,
315,222,345,30,375,405,405,107,435,100,465,233,495,587,525,118,555,230,,,,
316,115,346,580,376,418,406,533,436,260,466,401,496,-14,526,250,556,249,,,,
317,282,347,70,377,330,407,676,437,603,467,375,497,680,527,388,557,273,,,,
318,449,348,289,378,568,408,627,438,382,468,195,498,106,528,82,558,628,,,,
319,253,349,246,379,360,409,290,439,255,469,613,499,170,529,384,559,641,,,,
320,681,350,210,380,538,410,132,440,324,470,518,500,456,530,685,560,156,,,,
321,550,351,483,381,129,411,415,441,376,471,564,501,358,531,328,561,327,,,,
322,48,352,602,382,127,412,133,442,413,472,180,502,705,532,621,562,476,,,,
323,356,353,398,383,304,413,438,443,528,473,245,503,249,533,369,563,533,,,,
324,71,354,540,384,575,414,135,444,566,474,272,504,125,534,403,564,270,,,,
325,247,355,485,385,50,415,592,445,111,475,614,505,220,535,405,565,383,,,,
326,640,356,489,386,298,416,421,446,131,476,479,506,428,536,390,,,,,,
327,192,357,112,387,87,417,227,447,543,477,407,507,594,537,102,,,,,,
328,400,358,492,388,176,418,29,448,231,478,175,508,627,538,20,,,,,,
329,161,359,165,389,692,419,624,449,481,479,389,509,640,539,660,,,,,,
330,414,360,165,390,478,420,604,450,665,480,66,510,665,540,121,,,,,,
