0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,291,31,144,61,265,91,361,121,243,151,396,181,525,211,389,241,438
2,342,32,616,62,42,92,110,122,478,152,157,182,77,212,577,242,20
3,17,33,147,63,27,93,80,123,65,153,625,183,461,213,58,243,27
4,204,34,497,64,404,94,130,124,354,154,40,184,323,214,433,244,306
5,145,35,35,65,264,95,61,125,626,155,266,185,409,215,33,245,155
6,174,36,193,66,403,96,362,126,122,156,616,186,159,216,29,246,66
7,570,37,503,67,281,97,41,127,65,157,347,187,84,217,149,247,171
8,415,38,40,68,503,98,60,128,670,158,46,188,623,218,278,248,404
9,55,39,64,69,77,99,574,129,551,159,20,189,368,219,428,249,657
10,194,40,9,70,386,100,505,130,442,160,518,190,625,220,680,250,53
11,139,41,306,71,66,101,628,131,225,161,289,191,102,221,589,251,211
12,111,42,213,72,45,102,96,132,50,162,87,192,497,222,479,252,67
13,184,43,337,73,45,103,672,133,676,163,476,193,467,223,95,253,526
14,621,44,506,74,115,104,559,134,39,164,185,194,138,224,449,254,412
15,86,45,275,75,87,105,208,135,106,165,651,195,260,225,467,255,48
16,212,46,86,76,134,106,171,136,37,166,72,196,662,226,465,256,701
17,56,47,184,77,145,107,95,137,400,167,199,197,182,227,37,257,384
18,245,48,298,78,263,108,437,138,602,168,665,198,95,228,481,258,529
19,224,49,95,79,106,109,556,139,186,169,633,199,642,229,227,259,547
20,116,50,616,80,10,110,465,140,48,170,85,200,20,230,530,260,65
21,120,51,158,81,64,111,190,141,648,171,475,201,498,231,137,261,388
22,521,52,231,82,57,112,-1,142,409,172,562,202,287,232,100,262,135
23,435,53,587,83,675,113,321,143,65,173,80,203,259,233,496,263,259
24,628,54,90,84,46,114,308,144,411,174,125,204,366,234,66,264,135
25,47,55,184,85,38,115,141,145,99,175,185,205,537,235,415,265,152
26,342,56,50,86,620,116,563,146,105,176,280,206,125,236,304,266,544
27,63,57,58,87,375,117,107,147,79,177,400,207,623,237,527,,
28,38,58,340,88,615,118,124,148,63,178,220,208,91,238,244,,
29,435,59,57,89,62,119,102,149,654,179,222,209,472,239,254,,
30,134,60,78,90,161,120,294,150,451,180,286,210,627,240,268,,
