0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,
1,173,31,626,61,422,91,109,121,507,151,281,181,85,211,690,241,675,271,210,,,,,,,
2,265,32,140,62,286,92,115,122,34,152,108,182,235,212,266,242,453,272,126,,,,,,,
3,594,33,410,63,89,93,542,123,230,153,97,183,324,213,58,243,159,273,378,,,,,,,
4,366,34,227,64,237,94,423,124,65,154,96,184,466,214,278,244,134,274,342,,,,,,,
5,170,35,24,65,252,95,647,125,348,155,111,185,213,215,382,245,200,275,137,,,,,,,
6,107,36,640,66,675,96,115,126,116,156,100,186,145,216,402,246,237,276,155,,,,,,,
7,303,37,473,67,176,97,121,127,286,157,89,187,162,217,87,247,283,277,606,,,,,,,
8,86,38,77,68,442,98,648,128,586,158,113,188,95,218,112,248,48,278,85,,,,,,,
9,241,39,96,69,102,99,473,129,220,159,222,189,132,219,351,249,185,279,262,,,,,,,
10,150,40,309,70,162,100,177,130,183,160,111,190,128,220,340,250,437,280,619,,,,,,,
11,593,41,211,71,106,101,101,131,95,161,344,191,293,221,171,251,26,281,465,,,,,,,
12,130,42,321,72,498,102,484,132,509,162,168,192,196,222,197,252,49,282,156,,,,,,,
13,102,43,352,73,286,103,79,133,103,163,56,193,1,223,98,253,155,283,382,,,,,,,
14,287,44,394,74,250,104,78,134,287,164,230,194,173,224,307,254,63,284,278,,,,,,,
15,137,45,274,75,271,105,405,135,175,165,309,195,515,225,553,255,96,285,103,,,,,,,
16,98,46,115,76,75,106,432,136,125,166,199,196,65,226,199,256,231,286,300,,,,,,,
17,128,47,40,77,180,107,172,137,317,167,144,197,406,227,161,257,101,287,355,,,,,,,
18,372,48,79,78,326,108,85,138,247,168,87,198,411,228,161,258,279,288,611,,,,,,,
19,68,49,130,79,100,109,75,139,329,169,235,199,66,229,320,259,165,289,640,,,,,,,
20,350,50,95,80,124,110,486,140,92,170,438,200,231,230,161,260,204,290,44,,,,,,,
21,438,51,366,81,80,111,420,141,331,171,341,201,418,231,122,261,112,291,252,,,,,,,
22,438,52,5,82,206,112,47,142,142,172,222,202,105,232,57,262,676,292,75,,,,,,,
23,350,53,221,83,423,113,182,143,503,173,378,203,149,233,182,263,209,293,439,,,,,,,
24,20,54,545,84,307,114,253,144,484,174,345,204,339,234,174,264,171,294,502,,,,,,,
25,86,55,64,85,76,115,130,145,85,175,358,205,92,235,174,265,80,295,150,,,,,,,
26,260,56,347,86,0,116,137,146,434,176,322,206,244,236,102,266,80,296,332,,,,,,,
27,311,57,422,87,294,117,374,147,54,177,111,207,478,237,70,267,152,297,54,,,,,,,
28,111,58,130,88,378,118,184,148,191,178,147,208,303,238,130,268,34,298,42,,,,,,,
29,186,59,119,89,437,119,194,149,544,179,214,209,55,239,149,269,422,299,427,,,,,,,
30,452,60,109,90,172,120,134,150,670,180,244,210,250,240,537,270,631,300,99,,,,,,,
Centre:,200204,NEW,GREEN,FIELD,SCHOOL,SAKET,NEW,"DELHI,",NEW,GREEN,FIELD,SCHOOL,MARG,NO-22,SAKET,NEW,"DELHI,",DELHI/NEW,"DELHI,",DELHI,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,
301,29,331,240,361,102,391,70,421,312,451,205,481,91,511,86,541,136,571,345,,,,,,,
302,121,332,80,362,459,392,293,422,107,452,255,482,370,512,99,542,612,572,89,,,,,,,
303,125,333,452,363,408,393,100,423,125,453,100,483,87,513,445,543,278,573,115,,,,,,,
304,101,334,328,364,481,394,56,424,15,454,356,484,92,514,580,544,192,574,263,,,,,,,
305,357,335,258,365,207,395,69,425,333,455,319,485,265,515,438,545,110,575,238,,,,,,,
306,162,336,105,366,100,396,65,426,636,456,60,486,127,516,107,546,216,576,165,,,,,,,
307,140,337,174,367,383,397,113,427,345,457,135,487,163,517,80,547,45,577,294,,,,,,,
308,237,338,217,368,145,398,180,428,234,458,79,488,510,518,511,548,103,578,85,,,,,,,
309,227,339,376,369,677,399,65,429,140,459,488,489,363,519,141,549,238,579,261,,,,,,,
310,223,340,207,370,104,400,63,430,514,460,178,490,160,520,340,550,366,580,152,,,,,,,
311,91,341,432,371,499,401,35,431,193,461,224,491,225,521,371,551,419,581,75,,,,,,,
312,76,342,90,372,287,402,315,432,105,462,100,492,60,522,310,552,62,582,549,,,,,,,
313,209,343,394,373,534,403,125,433,95,463,276,493,484,523,357,553,86,583,220,,,,,,,
314,341,344,178,374,109,404,263,434,21,464,135,494,257,524,195,554,30,584,114,,,,,,,
315,615,345,583,375,294,405,312,435,160,465,373,495,127,525,118,555,44,585,292,,,,,,,
316,63,346,401,376,239,406,109,436,556,466,524,496,136,526,507,556,196,586,344,,,,,,,
317,317,347,151,377,72,407,536,437,441,467,505,497,362,527,336,557,315,587,371,,,,,,,
318,135,348,662,378,276,408,210,438,95,468,57,498,34,528,116,558,15,588,129,,,,,,,
319,207,349,228,379,591,409,499,439,198,469,147,499,97,529,471,559,459,589,73,,,,,,,
320,423,350,80,380,134,410,281,440,389,470,447,500,594,530,327,560,82,590,148,,,,,,,
321,189,351,230,381,185,411,372,441,274,471,339,501,230,531,362,561,204,591,290,,,,,,,
322,153,352,402,382,95,412,140,442,188,472,348,502,544,532,367,562,471,592,139,,,,,,,
323,456,353,370,383,265,413,87,443,207,473,192,503,690,533,258,563,460,593,443,,,,,,,
324,109,354,187,384,155,414,157,444,137,474,482,504,80,534,18,564,210,594,31,,,,,,,
325,305,355,273,385,263,415,261,445,491,475,477,505,481,535,204,565,127,595,285,,,,,,,
326,245,356,296,386,173,416,70,446,67,476,297,506,174,536,145,566,540,596,600,,,,,,,
327,237,357,230,387,367,417,124,447,289,477,506,507,306,537,636,567,550,597,103,,,,,,,
328,110,358,331,388,249,418,306,448,674,478,208,508,207,538,121,568,623,598,159,,,,,,,
329,248,359,147,389,77,419,95,449,401,479,611,509,500,539,330,569,381,599,506,,,,,,,
