0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
612,135,642,167,672,456,702,393,732,544,762,94,792,466,822,86,852,478,882,138,,,,,,,,,,
613,476,643,58,673,464,703,366,733,613,763,111,793,131,823,270,853,160,883,156,,,,,,,,,,
614,166,644,94,674,521,704,333,734,295,764,117,794,173,824,300,854,228,884,112,,,,,,,,,,
615,539,645,123,675,247,705,122,735,148,765,334,795,116,825,337,855,456,885,98,,,,,,,,,,
616,503,646,127,676,515,706,332,736,229,766,256,796,252,826,35,856,102,886,117,,,,,,,,,,
617,438,647,110,677,436,707,145,737,100,767,334,797,258,827,211,857,190,887,88,,,,,,,,,,
618,80,648,62,678,66,708,269,738,476,768,40,798,80,828,121,858,104,888,73,,,,,,,,,,
619,226,649,356,679,118,709,49,739,416,769,198,799,185,829,463,859,93,889,427,,,,,,,,,,
620,90,650,121,680,224,710,111,740,187,770,76,800,357,830,51,860,164,890,588,,,,,,,,,,
621,134,651,79,681,126,711,83,741,325,771,317,801,343,831,96,861,214,891,150,,,,,,,,,,
622,61,652,618,682,650,712,62,742,332,772,56,802,151,832,188,862,621,892,30,,,,,,,,,,
623,175,653,165,683,419,713,60,743,15,773,57,803,470,833,6,863,211,893,35,,,,,,,,,,
624,210,654,180,684,523,714,655,744,229,774,280,804,142,834,445,864,343,894,214,,,,,,,,,,
625,592,655,140,685,586,715,510,745,39,775,81,805,158,835,247,865,205,895,7,,,,,,,,,,
626,94,656,184,686,76,716,34,746,287,776,70,806,174,836,187,866,86,896,256,,,,,,,,,,
627,4,657,268,687,453,717,197,747,306,777,310,807,42,837,272,867,119,897,306,,,,,,,,,,
628,353,658,458,688,134,718,110,748,95,778,85,808,400,838,10,868,353,898,278,,,,,,,,,,
629,339,659,219,689,228,719,603,749,626,779,165,809,168,839,173,869,52,899,176,,,,,,,,,,
630,162,660,72,690,35,720,111,750,97,780,46,810,65,840,122,870,185,900,34,,,,,,,,,,
Centre:,440205,M,V,CONVENT,INTER,"COLLEGE,",RAJA,RAM,ARYA,MARG,SULEM,SARAI,PRAYAGRAJ,U.P.,SULEM,SARAI,NEAR,BANK,OF,"INDIA,","PRAYAGRAJ,",UTTAR,PRADESH,NEET,(UG),2024,Page,No.,4
Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,,,,,,,
901,215,931,504,,,,,,,,,,,,,,,,,,,,,,,,,,
902,242,932,104,,,,,,,,,,,,,,,,,,,,,,,,,,
903,135,933,65,,,,,,,,,,,,,,,,,,,,,,,,,,
904,190,934,239,,,,,,,,,,,,,,,,,,,,,,,,,,
