0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,389,31,80,61,113,91,130,121,103,151,129,181,330,211,80,241,16
2,83,32,133,62,422,92,432,122,176,152,115,182,394,212,99,242,139
3,261,33,238,63,70,93,267,123,30,153,260,183,468,213,190,243,274
4,108,34,567,64,372,94,61,124,143,154,145,184,116,214,91,244,97
5,83,35,38,65,562,95,21,125,363,155,128,185,407,215,477,245,23
6,455,36,153,66,164,96,569,126,65,156,49,186,335,216,82,246,85
7,285,37,122,67,66,97,62,127,90,157,375,187,109,217,95,247,117
8,55,38,192,68,93,98,86,128,116,158,80,188,99,218,216,248,219
9,116,39,52,69,45,99,201,129,132,159,65,189,107,219,92,249,349
10,174,40,42,70,46,100,238,130,108,160,11,190,117,220,49,250,393
11,394,41,86,71,103,101,431,131,271,161,404,191,395,221,39,251,226
12,118,42,343,72,66,102,146,132,206,162,43,192,280,222,48,252,79
13,458,43,55,73,245,103,70,133,176,163,68,193,234,223,153,253,59
14,7,44,484,74,284,104,441,134,52,164,549,194,199,224,74,254,32
15,218,45,102,75,87,105,119,135,153,165,140,195,72,225,56,255,211
16,4,46,248,76,98,106,257,136,30,166,127,196,267,226,491,256,229
17,237,47,156,77,245,107,111,137,52,167,184,197,149,227,86,,
18,344,48,111,78,71,108,386,138,140,168,86,198,105,228,117,,
19,73,49,51,79,204,109,131,139,155,169,31,199,348,229,241,,
20,150,50,477,80,72,110,170,140,100,170,193,200,147,230,158,,
21,193,51,66,81,37,111,288,141,23,171,158,201,113,231,145,,
22,159,52,130,82,126,112,124,142,258,172,145,202,63,232,70,,
23,142,53,73,83,392,113,91,143,227,173,57,203,523,233,122,,
24,55,54,53,84,412,114,178,144,15,174,361,204,95,234,239,,
25,155,55,281,85,81,115,165,145,111,175,26,205,143,235,195,,
26,575,56,542,86,187,116,134,146,257,176,115,206,71,236,133,,
27,48,57,63,87,249,117,96,147,412,177,361,207,135,237,56,,
28,141,58,90,88,171,118,366,148,71,178,65,208,112,238,514,,
29,616,59,116,89,448,119,346,149,83,179,274,209,201,239,67,,
30,150,60,70,90,338,120,168,150,145,180,303,210,35,240,39,,
