0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,168,31,209,61,162,91,20
2,60,32,120,62,232,92,80
3,267,33,75,63,295,93,110
4,193,34,35,64,65,94,10
5,491,35,232,65,90,95,120
6,358,36,-5,66,157,96,90
7,63,37,91,67,49,97,153
8,70,38,63,68,224,98,514
9,547,39,390,69,383,99,85
10,215,40,67,70,65,100,93
11,90,41,30,71,89,101,80
12,-19,42,11,72,325,102,82
13,129,43,74,73,45,103,299
14,589,44,81,74,50,104,68
15,71,45,31,75,15,105,90
16,327,46,41,76,143,106,321
17,57,47,155,77,35,107,53
18,26,48,113,78,99,108,306
19,211,49,40,79,135,109,28
20,107,50,581,80,200,110,45
21,40,51,376,81,99,111,10
22,36,52,65,82,198,112,274
23,55,53,5,83,112,113,73
24,153,54,114,84,416,,
25,146,55,404,85,89,,
26,25,56,145,86,70,,
27,29,57,75,87,182,,
28,240,58,121,88,476,,
29,35,59,86,89,60,,
30,78,60,97,90,75,,
