0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"MEERUT,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,
1,135,31,80,61,65,91,81,121,136,151,64,181,99,211,344,241,55,271,84,,,,,,,,,,,,
2,23,32,106,62,162,92,10,122,110,152,45,182,5,212,15,242,96,272,20,,,,,,,,,,,,
3,78,33,55,63,66,93,75,123,389,153,115,183,39,213,-4,243,40,273,621,,,,,,,,,,,,
4,228,34,38,64,35,94,72,124,78,154,124,184,199,214,80,244,44,274,85,,,,,,,,,,,,
5,79,35,38,65,145,95,36,125,86,155,407,185,54,215,13,245,70,275,83,,,,,,,,,,,,
6,486,36,124,66,68,96,142,126,135,156,253,186,401,216,69,246,56,276,362,,,,,,,,,,,,
7,15,37,315,67,100,97,301,127,111,157,78,187,65,217,76,247,115,277,78,,,,,,,,,,,,
8,306,38,40,68,35,98,-4,128,69,158,44,188,40,218,76,248,199,278,98,,,,,,,,,,,,
9,81,39,281,69,161,99,65,129,98,159,50,189,65,219,98,249,184,279,45,,,,,,,,,,,,
10,64,40,182,70,141,100,78,130,169,160,110,190,93,220,55,250,61,280,65,,,,,,,,,,,,
11,105,41,130,71,-9,101,96,131,15,161,304,191,88,221,377,251,78,281,45,,,,,,,,,,,,
12,-25,42,45,72,55,102,189,132,160,162,458,192,29,222,18,252,3,282,477,,,,,,,,,,,,
13,93,43,115,73,43,103,193,133,32,163,418,193,40,223,39,253,352,283,105,,,,,,,,,,,,
14,55,44,160,74,52,104,131,134,105,164,56,194,94,224,171,254,270,284,10,,,,,,,,,,,,
15,109,45,365,75,63,105,65,135,265,165,461,195,80,225,61,255,89,285,2,,,,,,,,,,,,
16,54,46,86,76,45,106,154,136,42,166,175,196,30,226,36,256,36,286,91,,,,,,,,,,,,
17,70,47,210,77,95,107,39,137,69,167,65,197,83,227,9,257,144,287,10,,,,,,,,,,,,
18,45,48,93,78,65,108,53,138,61,168,80,198,61,228,37,258,169,288,154,,,,,,,,,,,,
19,45,49,387,79,194,109,22,139,80,169,75,199,91,229,66,259,95,289,29,,,,,,,,,,,,
20,175,50,233,80,46,110,65,140,50,170,82,200,50,230,390,260,413,290,116,,,,,,,,,,,,
21,121,51,54,81,56,111,12,141,75,171,30,201,110,231,65,261,15,291,45,,,,,,,,,,,,
22,41,52,120,82,89,112,106,142,188,172,361,202,208,232,10,262,94,292,174,,,,,,,,,,,,
23,21,53,35,83,63,113,33,143,321,173,65,203,130,233,293,263,100,293,69,,,,,,,,,,,,
24,25,54,250,84,85,114,198,144,110,174,21,204,11,234,68,264,192,294,17,,,,,,,,,,,,
25,45,55,11,85,96,115,8,145,112,175,99,205,78,235,63,265,176,295,70,,,,,,,,,,,,
26,16,56,79,86,526,116,59,146,95,176,6,206,71,236,73,266,30,296,10,,,,,,,,,,,,
27,627,57,31,87,45,117,47,147,39,177,86,207,219,237,55,267,104,297,66,,,,,,,,,,,,
28,110,58,5,88,123,118,269,148,12,178,176,208,326,238,70,268,125,298,9,,,,,,,,,,,,
29,226,59,108,89,71,119,70,149,41,179,223,209,180,239,410,269,10,299,101,,,,,,,,,,,,
30,31,60,135,90,165,120,525,150,55,180,29,210,128,240,175,270,109,300,22,,,,,,,,,,,,
Centre:,440914,IIMT,ACADEMY,P-PKT,GANGA,NGR,MAWANA,RD,MEERUT,"UP,",I,I,M,T,ACADEMY,P,-,POCKET,GANGA,NAGAR,MAWANA,ROAD,MEERUT,UTTAR,"PRADESH,",NEET,(UG),2024,Page,No.,2
"MEERUT,",UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,,,,,,,,,
301,49,331,103,361,31,391,57,421,55,451,50,,,,,,,,,,,,,,,,,,,,
302,433,332,98,362,104,392,77,422,64,452,90,,,,,,,,,,,,,,,,,,,,
303,83,333,101,363,70,393,365,423,27,453,60,,,,,,,,,,,,,,,,,,,,
304,40,334,37,364,70,394,25,424,309,454,70,,,,,,,,,,,,,,,,,,,,
305,55,335,114,365,46,395,105,425,110,455,70,,,,,,,,,,,,,,,,,,,,
306,30,336,187,366,62,396,66,426,36,456,114,,,,,,,,,,,,,,,,,,,,
307,53,337,331,367,137,397,55,427,60,457,13,,,,,,,,,,,,,,,,,,,,
308,85,338,50,368,265,398,453,428,75,458,425,,,,,,,,,,,,,,,,,,,,
309,139,339,131,369,122,399,83,429,2,459,56,,,,,,,,,,,,,,,,,,,,
310,15,340,154,370,90,400,225,430,128,460,141,,,,,,,,,,,,,,,,,,,,
311,14,341,62,371,5,401,137,431,56,461,35,,,,,,,,,,,,,,,,,,,,
312,54,342,135,372,85,402,100,432,272,,,,,,,,,,,,,,,,,,,,,,
313,516,343,50,373,67,403,94,433,105,,,,,,,,,,,,,,,,,,,,,,
314,22,344,12,374,75,404,364,434,105,,,,,,,,,,,,,,,,,,,,,,
315,50,345,36,375,55,405,271,435,33,,,,,,,,,,,,,,,,,,,,,,
316,94,346,60,376,50,406,246,436,26,,,,,,,,,,,,,,,,,,,,,,
317,70,347,70,377,23,407,167,437,50,,,,,,,,,,,,,,,,,,,,,,
318,44,348,18,378,24,408,118,438,145,,,,,,,,,,,,,,,,,,,,,,
319,57,349,2,379,121,409,202,439,68,,,,,,,,,,,,,,,,,,,,,,
320,627,350,529,380,51,410,46,440,66,,,,,,,,,,,,,,,,,,,,,,
321,32,351,206,381,80,411,70,441,80,,,,,,,,,,,,,,,,,,,,,,
322,130,352,117,382,18,412,33,442,64,,,,,,,,,,,,,,,,,,,,,,
323,116,353,11,383,58,413,49,443,43,,,,,,,,,,,,,,,,,,,,,,
324,47,354,627,384,55,414,434,444,25,,,,,,,,,,,,,,,,,,,,,,
325,140,355,42,385,113,415,83,445,102,,,,,,,,,,,,,,,,,,,,,,
326,135,356,168,386,47,416,35,446,77,,,,,,,,,,,,,,,,,,,,,,
327,19,357,96,387,117,417,84,447,85,,,,,,,,,,,,,,,,,,,,,,
328,12,358,60,388,65,418,0,448,35,,,,,,,,,,,,,,,,,,,,,,
329,26,359,417,389,18,419,19,449,52,,,,,,,,,,,,,,,,,,,,,,
330,-5,360,238,390,231,420,163,450,115,,,,,,,,,,,,,,,,,,,,,,
