0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,51,31,188,61,108,91,115,121,167,151,70,181,95,211,23,241,464,271,356
2,451,32,228,62,395,92,386,122,403,152,530,182,302,212,45,242,202,272,51
3,270,33,241,63,161,93,479,123,147,153,112,183,99,213,110,243,127,273,240
4,511,34,72,64,86,94,483,124,-15,154,462,184,447,214,414,244,179,274,451
5,94,35,107,65,337,95,483,125,360,155,50,185,570,215,31,245,48,275,447
6,113,36,406,66,106,96,260,126,291,156,437,186,457,216,-6,246,359,276,184
7,151,37,86,67,10,97,334,127,108,157,67,187,500,217,259,247,177,277,362
8,60,38,440,68,8,98,256,128,290,158,490,188,124,218,464,248,132,278,126
9,402,39,181,69,265,99,126,129,290,159,157,189,432,219,321,249,325,279,94
10,175,40,520,70,68,100,326,130,353,160,229,190,85,220,225,250,508,280,189
11,368,41,628,71,456,101,156,131,367,161,156,191,301,221,298,251,575,281,305
12,279,42,465,72,169,102,293,132,210,162,359,192,420,222,160,252,101,282,76
13,206,43,246,73,291,103,419,133,392,163,166,193,665,223,283,253,100,283,193
14,539,44,417,74,206,104,48,134,108,164,422,194,412,224,278,254,413,284,384
15,184,45,357,75,75,105,66,135,378,165,49,195,326,225,176,255,49,285,560
16,186,46,559,76,47,106,369,136,127,166,67,196,115,226,422,256,84,286,249
17,95,47,351,77,388,107,324,137,328,167,341,197,167,227,237,257,15,287,112
18,83,48,239,78,76,108,602,138,482,168,311,198,327,228,158,258,341,288,279
19,390,49,437,79,445,109,180,139,24,169,484,199,647,229,315,259,504,289,294
20,446,50,278,80,85,110,453,140,500,170,225,200,68,230,201,260,85,290,552
21,506,51,218,81,144,111,280,141,212,171,524,201,87,231,261,261,104,291,294
22,429,52,389,82,60,112,115,142,267,172,434,202,264,232,476,262,243,292,231
23,244,53,284,83,151,113,68,143,352,173,563,203,111,233,137,263,289,293,498
24,518,54,91,84,477,114,354,144,228,174,241,204,379,234,402,264,309,294,355
25,225,55,387,85,76,115,423,145,131,175,118,205,73,235,203,265,215,295,81
26,248,56,187,86,309,116,287,146,628,176,40,206,347,236,376,266,147,296,375
27,99,57,27,87,223,117,-6,147,549,177,265,207,298,237,108,267,119,297,230
28,407,58,321,88,584,118,349,148,293,178,406,208,548,238,101,268,317,298,308
29,368,59,388,89,498,119,276,149,115,179,40,209,288,239,268,269,458,299,86
30,198,60,173,90,548,120,201,150,152,180,461,210,286,240,272,270,137,300,122
Centre:,420807,SARITHA,VIDYA,"NIKETHAN,",DOOR,NO:4-7-,266/N,BESIDE,R.T.C,DEPOT,"HAYATHNAGAR,","HAYATHNAGAR,",TELANGANA,NEET,(UG),2024,Page,No.,2
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,
301,561,331,235,361,30,391,317,421,92,451,510,,,,,,,,
302,514,332,230,362,130,392,255,422,461,452,446,,,,,,,,
303,94,333,380,363,184,393,154,423,286,453,145,,,,,,,,
304,379,334,230,364,92,394,513,424,369,454,462,,,,,,,,
305,492,335,599,365,123,395,57,425,502,455,280,,,,,,,,
306,430,336,477,366,431,396,523,426,537,456,140,,,,,,,,
307,42,337,173,367,171,397,129,427,88,457,287,,,,,,,,
308,134,338,62,368,270,398,272,428,193,458,432,,,,,,,,
309,106,339,199,369,292,399,369,429,377,459,623,,,,,,,,
310,406,340,562,370,94,400,247,430,328,460,91,,,,,,,,
311,419,341,170,371,162,401,387,431,184,461,152,,,,,,,,
312,194,342,122,372,363,402,302,432,418,462,447,,,,,,,,
313,421,343,305,373,396,403,490,433,146,463,361,,,,,,,,
314,21,344,70,374,78,404,160,434,370,464,526,,,,,,,,
315,179,345,310,375,6,405,481,435,526,465,365,,,,,,,,
316,315,346,28,376,199,406,173,436,48,466,561,,,,,,,,
317,210,347,80,377,436,407,169,437,313,467,336,,,,,,,,
318,132,348,238,378,84,408,593,438,51,468,215,,,,,,,,
319,34,349,219,379,334,409,35,439,302,469,253,,,,,,,,
320,263,350,630,380,362,410,438,440,531,470,567,,,,,,,,
321,510,351,153,381,350,411,477,441,118,471,294,,,,,,,,
322,325,352,104,382,414,412,196,442,122,,,,,,,,,,
323,627,353,598,383,412,413,373,443,404,,,,,,,,,,
324,183,354,430,384,102,414,226,444,395,,,,,,,,,,
325,198,355,400,385,228,415,359,445,308,,,,,,,,,,
326,432,356,368,386,480,416,79,446,271,,,,,,,,,,
327,557,357,245,387,10,417,296,447,266,,,,,,,,,,
328,613,358,468,388,121,418,147,448,424,,,,,,,,,,
329,435,359,98,389,199,419,509,449,193,,,,,,,,,,
330,248,360,110,390,214,420,246,450,307,,,,,,,,,,
