0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
DISTRICT,"KERALA,","KOLLAM,",KERALA,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,
1,95,31,153,61,254,91,606,121,83,151,-5,181,164,211,148,241,130,271,221,
2,105,32,350,62,82,92,76,122,166,152,585,182,310,212,96,242,65,272,120,
3,231,33,100,63,236,93,143,123,376,153,179,183,190,213,135,243,55,273,151,
4,15,34,136,64,476,94,28,124,169,154,61,184,509,214,223,244,86,274,211,
5,97,35,206,65,38,95,380,125,70,155,117,185,98,215,157,245,222,275,105,
6,155,36,393,66,165,96,290,126,91,156,257,186,20,216,247,246,124,276,19,
7,241,37,391,67,162,97,135,127,363,157,286,187,60,217,101,247,106,277,70,
8,169,38,170,68,95,98,165,128,520,158,113,188,193,218,196,248,271,278,249,
9,448,39,154,69,204,99,104,129,52,159,339,189,27,219,113,249,86,279,242,
10,63,40,45,70,185,100,312,130,64,160,40,190,257,220,70,250,110,280,165,
11,11,41,274,71,81,101,175,131,399,161,615,191,119,221,168,251,160,281,404,
12,273,42,48,72,58,102,647,132,607,162,132,192,391,222,85,252,301,282,112,
13,167,43,156,73,25,103,175,133,260,163,84,193,570,223,150,253,177,283,-4,
14,70,44,88,74,160,104,256,134,107,164,104,194,292,224,145,254,168,284,20,
15,38,45,165,75,55,105,383,135,190,165,168,195,179,225,618,255,161,285,557,
16,696,46,390,76,65,106,124,136,44,166,189,196,504,226,90,256,165,286,188,
17,122,47,115,77,216,107,21,137,207,167,55,197,94,227,366,257,320,287,140,
18,250,48,175,78,95,108,444,138,160,168,132,198,63,228,311,258,54,288,90,
19,145,49,388,79,208,109,293,139,270,169,353,199,53,229,140,259,247,289,286,
20,108,50,479,80,145,110,38,140,277,170,74,200,352,230,110,260,108,290,200,
21,240,51,271,81,408,111,240,141,76,171,176,201,312,231,204,261,164,291,56,
22,333,52,627,82,499,112,241,142,196,172,130,202,40,232,270,262,125,292,328,
