0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,237,31,382,61,-28,91,86
2,63,32,334,62,51,92,447
3,102,33,87,63,527,93,156
4,116,34,28,64,11,94,79
5,345,35,107,65,130,95,49
6,80,36,160,66,108,96,42
7,85,37,57,67,21,97,109
8,307,38,97,68,131,98,43
9,66,39,60,69,108,99,101
10,147,40,78,70,120,100,57
11,78,41,81,71,132,101,410
12,378,42,111,72,641,102,211
13,183,43,79,73,58,103,346
14,508,44,110,74,599,104,67
15,209,45,503,75,176,105,88
16,382,46,297,76,84,,
17,85,47,143,77,157,,
18,229,48,97,78,104,,
19,109,49,119,79,216,,
20,210,50,60,80,83,,
21,256,51,8,81,81,,
22,378,52,187,82,20,,
23,31,53,195,83,120,,
24,110,54,46,84,55,,
25,52,55,390,85,71,,
26,86,56,73,86,48,,
27,111,57,162,87,115,,
28,150,58,141,88,315,,
29,161,59,311,89,75,,
30,120,60,87,90,130,,
