0,1,2,3,4,5,6,7,8,9,10,11
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,64,31,66,61,89,91,231,121,71,151,36
2,154,32,120,62,85,92,176,122,27,152,100
3,370,33,189,63,104,93,167,123,186,153,56
4,133,34,113,64,185,94,629,124,224,154,120
5,65,35,85,65,124,95,70,125,135,155,174
6,314,36,115,66,296,96,112,126,45,156,323
7,76,37,223,67,304,97,47,127,54,157,41
8,50,38,20,68,180,98,56,128,30,158,525
9,28,39,635,69,158,99,192,129,216,159,98
10,95,40,110,70,72,100,62,130,61,160,124
11,64,41,162,71,72,101,70,131,11,161,450
12,107,42,28,72,72,102,73,132,75,162,70
13,241,43,91,73,307,103,128,133,507,163,36
14,120,44,636,74,177,104,71,134,356,164,433
15,298,45,339,75,93,105,21,135,102,165,311
16,85,46,74,76,59,106,92,136,259,166,192
17,25,47,170,77,265,107,119,137,623,167,146
18,38,48,85,78,26,108,219,138,102,168,122
19,80,49,501,79,142,109,51,139,85,169,108
20,57,50,100,80,75,110,-30,140,80,,
21,164,51,220,81,67,111,43,141,70,,
22,349,52,184,82,80,112,175,142,82,,
23,137,53,111,83,226,113,167,143,531,,
24,99,54,90,84,55,114,87,144,86,,
25,52,55,555,85,483,115,66,145,106,,
26,95,56,40,86,117,116,106,146,159,,
27,501,57,144,87,317,117,205,147,76,,
28,123,58,67,88,69,118,668,148,200,,
29,360,59,35,89,189,119,171,149,203,,
30,60,60,291,90,75,120,120,150,105,,
