0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,167,31,412,61,674,91,82,121,185,151,115,181,245,211,98,241,165
2,199,32,262,62,164,92,305,122,135,152,67,182,276,212,120,242,515
3,55,33,93,63,19,93,164,123,61,153,35,183,134,213,486,243,50
4,260,34,304,64,78,94,54,124,147,154,70,184,195,214,85,244,91
5,95,35,55,65,109,95,159,125,144,155,253,185,144,215,185,245,111
6,135,36,92,66,53,96,58,126,40,156,127,186,207,216,14,246,40
7,169,37,187,67,130,97,199,127,85,157,544,187,77,217,331,247,96
8,103,38,98,68,132,98,221,128,69,158,40,188,69,218,36,248,90
9,77,39,211,69,187,99,210,129,94,159,124,189,399,219,200,249,38
10,50,40,390,70,139,100,105,130,193,160,265,190,160,220,84,250,21
11,273,41,264,71,238,101,62,131,90,161,27,191,109,221,169,251,494
12,38,42,98,72,78,102,362,132,55,162,206,192,160,222,64,252,219
13,99,43,362,73,156,103,82,133,119,163,59,193,23,223,123,253,149
14,75,44,151,74,461,104,171,134,37,164,62,194,225,224,135,,
15,195,45,101,75,87,105,71,135,55,165,66,195,125,225,107,,
16,388,46,32,76,70,106,219,136,87,166,90,196,345,226,198,,
17,98,47,85,77,77,107,73,137,73,167,30,197,264,227,171,,
18,105,48,71,78,123,108,158,138,234,168,96,198,45,228,228,,
19,168,49,155,79,75,109,113,139,431,169,243,199,65,229,91,,
20,71,50,41,80,50,110,76,140,115,170,52,200,215,230,97,,
21,87,51,55,81,97,111,232,141,64,171,471,201,135,231,132,,
22,616,52,143,82,49,112,155,142,44,172,271,202,89,232,149,,
23,122,53,290,83,58,113,464,143,94,173,159,203,55,233,181,,
24,125,54,445,84,149,114,25,144,143,174,87,204,102,234,204,,
25,43,55,50,85,296,115,25,145,89,175,170,205,388,235,217,,
26,82,56,198,86,110,116,75,146,97,176,74,206,126,236,-4,,
27,177,57,90,87,131,117,421,147,585,177,114,207,206,237,70,,
28,405,58,60,88,8,118,251,148,253,178,92,208,60,238,83,,
29,54,59,432,89,76,119,331,149,598,179,551,209,106,239,138,,
30,104,60,464,90,22,120,228,150,126,180,166,210,91,240,65,,
