0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,342,31,65,61,528,91,667,121,681,151,178,181,85,211,112
2,515,32,415,62,166,92,477,122,479,152,635,182,164,212,241
3,190,33,145,63,414,93,12,123,652,153,104,183,266,213,203
4,81,34,61,64,156,94,93,124,385,154,314,184,401,214,259
5,104,35,91,65,533,95,343,125,229,155,30,185,235,215,687
6,384,36,117,66,104,96,125,126,94,156,190,186,328,216,181
7,109,37,42,67,164,97,566,127,141,157,20,187,283,217,119
8,529,38,104,68,30,98,319,128,210,158,217,188,121,218,35
9,340,39,198,69,553,99,92,129,466,159,53,189,651,219,76
10,96,40,60,70,190,100,135,130,43,160,234,190,115,220,42
11,120,41,159,71,257,101,64,131,170,161,106,191,356,221,469
12,473,42,133,72,90,102,328,132,143,162,240,192,149,222,531
13,511,43,593,73,99,103,167,133,151,163,391,193,231,223,99
14,254,44,303,74,219,104,317,134,221,164,146,194,73,224,405
15,115,45,99,75,90,105,161,135,661,165,132,195,100,225,109
16,537,46,556,76,73,106,150,136,81,166,287,196,150,226,221
17,258,47,121,77,325,107,262,137,220,167,77,197,628,227,100
18,458,48,111,78,23,108,322,138,131,168,119,198,353,228,379
19,45,49,639,79,554,109,400,139,163,169,136,199,147,229,80
20,137,50,108,80,95,110,65,140,204,170,87,200,20,230,219
21,114,51,242,81,264,111,312,141,50,171,136,201,354,231,0
22,593,52,83,82,340,112,654,142,85,172,576,202,489,232,184
23,389,53,202,83,123,113,455,143,473,173,329,203,119,233,213
24,115,54,638,84,212,114,212,144,28,174,79,204,149,234,441
25,614,55,203,85,101,115,489,145,117,175,288,205,207,235,274
26,95,56,171,86,17,116,262,146,78,176,96,206,184,,
27,42,57,125,87,582,117,328,147,279,177,71,207,106,,
28,78,58,296,88,382,118,277,148,217,178,116,208,325,,
29,660,59,307,89,48,119,65,149,90,179,534,209,307,,
30,161,60,229,90,95,120,79,150,15,180,205,210,306,,
