0,1,2,3,4,5,6,7
TELANGANA,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,88,31,140,61,89,91,37
2,203,32,125,62,57,92,128
3,21,33,110,63,85,93,66
4,50,34,345,64,160,94,218
5,41,35,62,65,291,95,61
6,73,36,66,66,342,96,87
7,72,37,95,67,29,97,123
8,658,38,62,68,40,98,100
9,6,39,15,69,120,99,130
10,70,40,451,70,30,,
11,106,41,65,71,41,,
12,40,42,115,72,90,,
13,27,43,48,73,105,,
14,11,44,180,74,14,,
15,70,45,70,75,45,,
16,87,46,225,76,1,,
17,361,47,6,77,54,,
18,131,48,547,78,56,,
19,40,49,75,79,430,,
20,106,50,30,80,493,,
21,59,51,48,81,35,,
22,5,52,60,82,323,,
23,46,53,314,83,46,,
24,84,54,120,84,64,,
25,26,55,70,85,64,,
26,70,56,35,86,75,,
27,153,57,117,87,80,,
28,60,58,50,88,40,,
29,87,59,160,89,301,,
30,57,60,9,90,85,,
