0,1,2,3,4,5,6,7
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,264,31,201,61,200,91,100
2,244,32,105,62,484,92,61
3,246,33,130,63,61,93,182
4,142,34,65,64,399,94,129
5,200,35,211,65,191,95,138
6,115,36,97,66,103,96,333
7,260,37,419,67,107,97,11
8,148,38,141,68,170,98,93
9,148,39,147,69,249,99,264
10,84,40,105,70,125,100,42
11,108,41,147,71,226,101,334
12,110,42,341,72,118,102,238
13,96,43,274,73,214,103,145
14,140,44,151,74,331,,
15,255,45,367,75,113,,
16,299,46,122,76,99,,
17,181,47,422,77,128,,
18,403,48,75,78,113,,
19,296,49,97,79,73,,
20,312,50,120,80,65,,
21,184,51,170,81,90,,
22,136,52,454,82,139,,
23,130,53,105,83,70,,
24,201,54,496,84,392,,
25,403,55,58,85,338,,
26,299,56,45,86,71,,
27,118,57,399,87,139,,
28,213,58,324,88,414,,
29,91,59,314,89,105,,
30,164,60,648,90,69,,
