0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,508,31,75,61,204,91,55,121,59,151,474,181,232,211,603,241,318
2,78,32,69,62,87,92,19,122,504,152,231,182,124,212,270,242,589
3,512,33,174,63,451,93,553,123,631,153,414,183,642,213,664,243,39
4,84,34,51,64,346,94,695,124,526,154,329,184,152,214,50,244,231
5,18,35,269,65,116,95,158,125,366,155,35,185,374,215,99,245,23
6,197,36,32,66,107,96,34,126,209,156,144,186,573,216,13,246,43
7,46,37,497,67,107,97,4,127,364,157,138,187,273,217,30,247,389
8,104,38,174,68,168,98,426,128,564,158,441,188,482,218,438,248,285
9,81,39,217,69,185,99,664,129,268,159,396,189,181,219,70,249,349
10,405,40,612,70,481,100,491,130,620,160,450,190,100,220,422,250,642
11,366,41,421,71,218,101,645,131,320,161,480,191,381,221,215,251,49
12,197,42,183,72,86,102,260,132,661,162,642,192,26,222,167,252,252
13,202,43,373,73,218,103,596,133,150,163,56,193,50,223,383,253,159
14,280,44,499,74,54,104,311,134,80,164,119,194,73,224,15,254,60
15,280,45,46,75,686,105,74,135,607,165,588,195,131,225,59,255,318
16,640,46,40,76,120,106,256,136,390,166,392,196,221,226,82,,
17,690,47,505,77,404,107,365,137,536,167,583,197,86,227,390,,
18,55,48,105,78,369,108,285,138,545,168,86,198,610,228,250,,
19,-3,49,255,79,152,109,325,139,455,169,678,199,56,229,324,,
20,525,50,89,80,119,110,376,140,35,170,3,200,272,230,286,,
21,660,51,30,81,262,111,513,141,194,171,354,201,293,231,392,,
22,554,52,631,82,121,112,303,142,213,172,390,202,423,232,452,,
23,177,53,12,83,404,113,571,143,290,173,45,203,421,233,165,,
24,266,54,5,84,34,114,127,144,78,174,223,204,196,234,525,,
25,564,55,189,85,471,115,115,145,381,175,10,205,440,235,249,,
26,56,56,633,86,35,116,73,146,66,176,156,206,125,236,165,,
27,275,57,0,87,60,117,403,147,622,177,80,207,197,237,220,,
28,95,58,156,88,376,118,321,148,286,178,659,208,412,238,150,,
29,191,59,373,89,334,119,449,149,548,179,318,209,65,239,255,,
30,133,60,526,90,359,120,617,150,653,180,445,210,110,240,150,,
