0,1,2,3,4,5,6,7
GUJARAT,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,112,31,129,61,110,91,346
2,143,32,65,62,96,92,85
3,241,33,150,63,150,93,192
4,463,34,437,64,33,94,28
5,136,35,197,65,106,95,439
6,103,36,122,66,330,96,518
7,153,37,229,67,586,97,164
8,177,38,134,68,132,98,221
9,249,39,234,69,513,99,98
10,61,40,155,70,278,100,338
11,351,41,56,71,180,101,185
12,154,42,169,72,275,102,236
13,75,43,229,73,50,,
14,349,44,320,74,596,,
15,173,45,84,75,39,,
16,164,46,348,76,448,,
17,94,47,114,77,119,,
18,82,48,165,78,504,,
19,219,49,214,79,123,,
20,39,50,329,80,66,,
21,95,51,466,81,157,,
22,305,52,341,82,171,,
23,106,53,384,83,148,,
24,162,54,120,84,121,,
25,46,55,124,85,126,,
26,114,56,237,86,151,,
27,57,57,113,87,222,,
28,70,58,25,88,153,,
29,297,59,113,89,78,,
30,197,60,376,90,153,,
