0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"KARNATAKA,",BELAGAVI,"(BELGAUM),",KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,
1,681,31,86,61,72,91,43,121,398,151,64,181,5,211,94,241,30,271,280,,,,,,,,,,,,
2,59,32,26,62,62,92,56,122,255,152,564,182,133,212,105,242,40,272,108,,,,,,,,,,,,
3,61,33,185,63,42,93,135,123,292,153,97,183,66,213,326,243,118,273,92,,,,,,,,,,,,
4,510,34,108,64,70,94,151,124,75,154,94,184,210,214,321,244,60,274,101,,,,,,,,,,,,
5,67,35,30,65,463,95,80,125,73,155,110,185,250,215,191,245,113,275,38,,,,,,,,,,,,
6,134,36,144,66,365,96,223,126,477,156,77,186,95,216,166,246,49,276,100,,,,,,,,,,,,
7,146,37,384,67,74,97,291,127,45,157,143,187,253,217,122,247,210,277,666,,,,,,,,,,,,
8,183,38,135,68,143,98,395,128,295,158,88,188,26,218,33,248,676,278,201,,,,,,,,,,,,
9,140,39,89,69,192,99,534,129,80,159,12,189,485,219,348,249,30,279,176,,,,,,,,,,,,
10,132,40,99,70,205,100,105,130,214,160,39,190,99,220,220,250,80,280,215,,,,,,,,,,,,
11,120,41,35,71,72,101,111,131,128,161,198,191,314,221,168,251,107,281,115,,,,,,,,,,,,
12,107,42,355,72,351,102,161,132,266,162,317,192,96,222,56,252,71,282,49,,,,,,,,,,,,
13,73,43,353,73,116,103,77,133,170,163,100,193,45,223,74,253,71,283,156,,,,,,,,,,,,
14,96,44,63,74,53,104,115,134,18,164,26,194,660,224,191,254,392,284,167,,,,,,,,,,,,
15,126,45,98,75,151,105,95,135,65,165,123,195,155,225,112,255,60,285,110,,,,,,,,,,,,
16,480,46,279,76,199,106,425,136,90,166,199,196,85,226,162,256,73,286,399,,,,,,,,,,,,
17,85,47,179,77,65,107,67,137,76,167,32,197,119,227,109,257,109,287,150,,,,,,,,,,,,
18,125,48,252,78,404,108,198,138,244,168,289,198,93,228,134,258,53,288,98,,,,,,,,,,,,
19,64,49,86,79,413,109,287,139,94,169,354,199,42,229,58,259,135,289,272,,,,,,,,,,,,
20,83,50,119,80,114,110,92,140,100,170,250,200,129,230,26,260,312,290,187,,,,,,,,,,,,
21,133,51,223,81,181,111,117,141,155,171,142,201,46,231,49,261,141,291,65,,,,,,,,,,,,
22,207,52,97,82,174,112,545,142,153,172,99,202,119,232,218,262,182,292,230,,,,,,,,,,,,
23,158,53,349,83,26,113,44,143,60,173,129,203,409,233,200,263,109,293,123,,,,,,,,,,,,
24,95,54,110,84,52,114,89,144,202,174,532,204,248,234,87,264,449,294,185,,,,,,,,,,,,
25,73,55,25,85,161,115,93,145,86,175,132,205,354,235,297,265,186,295,337,,,,,,,,,,,,
26,50,56,231,86,139,116,156,146,95,176,161,206,288,236,13,266,80,296,208,,,,,,,,,,,,
27,91,57,128,87,36,117,317,147,150,177,46,207,255,237,342,267,450,297,241,,,,,,,,,,,,
28,15,58,70,88,137,118,126,148,237,178,521,208,125,238,484,268,109,298,149,,,,,,,,,,,,
29,59,59,50,89,65,119,62,149,71,179,239,209,100,239,156,269,366,299,198,,,,,,,,,,,,
30,92,60,518,90,441,120,110,150,435,180,133,210,59,240,428,270,154,300,59,,,,,,,,,,,,
Centre:,270101,C,T,E,SOCIETY`S,PUB,SCH,CHIKODI,BELGAUM,"KK,",CTE,SOCIETY`S,INTERNATIONAL,SCHOOL,CO,R,D,HIGH,SCHOOL,CAMPUS,N,M,ROAD,CHIKODI,BELGAUM,NEET,(UG),2024,Page,No.,2
"KARNATAKA,",BELAGAVI,"(BELGAUM),",KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,,,,,,,,,,,,
301,80,331,146,361,123,391,71,421,251,451,22,481,59,511,330,541,47,571,302,,,,,,,,,,,,
302,27,332,32,362,429,392,6,422,59,452,163,482,78,512,186,542,112,572,357,,,,,,,,,,,,
