0,1,2,3,4,5,6,7,8,9,10,11,12,13
Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks,Srlno.,Marks
1,127,31,38,61,455,91,73,121,83,151,197,181,92
2,604,32,99,62,216,92,100,122,267,152,21,182,77
3,106,33,175,63,140,93,118,123,292,153,65,183,22
4,56,34,60,64,50,94,90,124,287,154,79,184,221
5,90,35,161,65,292,95,111,125,75,155,81,185,198
6,45,36,43,66,254,96,130,126,231,156,195,186,80
7,82,37,145,67,41,97,193,127,166,157,48,,
8,62,38,90,68,152,98,84,128,304,158,65,,
9,244,39,222,69,77,99,274,129,86,159,462,,
10,209,40,72,70,103,100,231,130,128,160,210,,
11,220,41,85,71,150,101,438,131,115,161,121,,
12,107,42,156,72,242,102,250,132,211,162,137,,
13,21,43,80,73,152,103,264,133,118,163,252,,
14,15,44,20,74,146,104,110,134,106,164,60,,
15,216,45,388,75,95,105,141,135,28,165,56,,
16,71,46,130,76,51,106,78,136,103,166,128,,
17,195,47,85,77,71,107,126,137,77,167,68,,
18,228,48,206,78,93,108,50,138,224,168,119,,
19,205,49,176,79,99,109,418,139,17,169,70,,
20,270,50,168,80,317,110,162,140,183,170,141,,
21,59,51,15,81,61,111,200,141,65,171,81,,
22,121,52,222,82,121,112,130,142,133,172,172,,
23,64,53,100,83,75,113,125,143,51,173,67,,
24,70,54,95,84,160,114,64,144,112,174,365,,
25,185,55,116,85,86,115,73,145,134,175,136,,
26,250,56,234,86,103,116,52,146,71,176,291,,
27,49,57,214,87,55,117,70,147,118,177,70,,
28,98,58,107,88,68,118,81,148,35,178,233,,
29,255,59,70,89,87,119,38,149,61,179,293,,
30,201,60,140,90,44,120,229,150,183,180,60,,
